,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isLeft,isWalk
0,-1.35,-3.68,0.59,2.09,3.71,-21.88,0 days 00:00:00.865000000,0,0
1,-1.13,-3.9,0.47,-7.15,32.98,-60.76,0 days 00:00:01.045000000,0,0
2,-0.87,-3.88,0.47,7.51,-5.86,-25.82,0 days 00:00:01.225000000,0,0
3,-0.8,-3.88,0.44,5.89,3.07,-9.3,0 days 00:00:01.405000000,0,0
4,-0.63,-3.94,0.53,3.51,-3.1,-6.43,0 days 00:00:01.555000000,0,0
5,-0.79,-3.93,0.48,3.04,0.26,-4.27,0 days 00:00:01.735000000,1,0
6,-0.95,-3.88,0.48,2.37,-28.15,-18.41,0 days 00:00:01.915000000,1,0
7,-0.97,-4.09,0.41,52.84,-236.12,-29.68,0 days 00:00:02.095000000,1,0
8,0.86,-3.58,0.77,68.84,-413.27,13.62,0 days 00:00:02.275000000,1,0
9,0.13,-4.11,1.1,-45.71,204.78,-13.1,0 days 00:00:02.455000000,1,0
10,-0.39,-4.04,0.52,-48.6,301.42,-20.69,0 days 00:00:02.636000000,1,0
11,-1.03,-4.1,0.27,-17.33,123.77,-21.59,0 days 00:00:02.815000000,1,0
12,-0.26,-3.97,0.39,10.18,-20.85,-0.12,0 days 00:00:02.996000000,0,0
13,-0.24,-3.97,0.4,3.57,-4.87,1.07,0 days 00:00:03.179000000,0,0
14,-0.37,-4.01,0.39,4.32,-25.39,2.69,0 days 00:00:03.374000000,0,0
15,-0.31,-3.98,0.35,-7.42,-7.69,5.76,0 days 00:00:03.538000000,0,0
16,-0.4,-3.97,0.36,3.8,-2.4,0.14,0 days 00:00:03.745000000,0,0
17,-0.42,-3.98,0.36,4.0,-1.62,-1.07,0 days 00:00:03.922000000,0,0
18,-0.46,-3.97,0.39,5.69,-10.15,2.44,0 days 00:00:04.107000000,0,0
19,-0.51,-3.95,0.38,5.39,-14.11,-3.44,0 days 00:00:04.270000000,1,0
20,-1.07,-4.29,0.27,32.95,-189.6,-5.77,0 days 00:00:04.427000000,1,0
21,0.85,-3.67,0.77,67.31,-376.24,20.43,0 days 00:00:04.587000000,1,0
22,1.19,-3.79,1.24,-35.07,129.53,5.42,0 days 00:00:04.786000000,1,0
23,-0.45,-3.86,0.14,-44.41,371.39,-5.01,0 days 00:00:04.974000000,1,0
24,-0.93,-4.12,0.26,-2.2,117.91,-2.56,0 days 00:00:05.172000000,1,0
25,-0.47,-3.91,0.52,13.19,7.89,-0.82,0 days 00:00:05.346000000,0,0
26,-0.42,-3.98,0.47,4.5,0.52,-5.07,0 days 00:00:05.491000000,0,0
27,-0.46,-4.0,0.46,5.98,2.14,0.18,0 days 00:00:05.681000000,0,0
28,-0.42,-3.94,0.46,4.96,0.29,-1.59,0 days 00:00:05.877000000,0,0
29,-0.45,-3.97,0.46,4.38,-2.96,-3.01,0 days 00:00:06.033000000,0,0
30,-0.47,-3.94,0.46,4.03,-1.66,-1.36,0 days 00:00:06.240000000,0,0
31,-0.48,-3.99,0.5,3.6,-1.92,-3.33,0 days 00:00:06.402000000,0,0
32,-0.5,-3.98,0.53,5.15,-3.19,-1.59,0 days 00:00:06.571000000,0,0
33,-0.48,-3.97,0.51,3.83,-0.96,-2.58,0 days 00:00:06.742000000,0,0
34,-0.47,-3.97,0.48,3.63,-0.99,-3.95,0 days 00:00:06.914000000,0,0
35,-0.52,-3.99,0.5,3.73,-1.37,-2.38,0 days 00:00:07.086000000,0,0
36,-0.56,-3.96,0.5,4.02,0.5,-2.05,0 days 00:00:07.274000000,0,0
37,-0.48,-3.97,0.53,3.89,-3.19,-4.2,0 days 00:00:07.468000000,0,0
38,-0.54,-3.95,0.56,4.67,-1.36,-2.96,0 days 00:00:07.659000000,0,0
39,-0.51,-3.95,0.53,4.24,-0.03,-2.38,0 days 00:00:07.799000000,0,0
40,-0.52,-3.96,0.51,3.22,-1.95,-2.73,0 days 00:00:08.009000000,0,0
41,-0.5,-3.96,0.54,3.16,-0.21,-2.4,0 days 00:00:08.157000000,0,0
42,-0.55,-3.97,0.53,3.24,-1.83,-2.06,0 days 00:00:08.379000000,1,0
43,-0.73,-3.96,0.44,1.39,-13.21,-3.88,0 days 00:00:08.533000000,1,0
44,-1.05,-4.09,0.04,59.92,-427.82,-14.47,0 days 00:00:08.698000000,1,0
45,1.68,-3.53,1.44,0.06,-131.77,8.87,0 days 00:00:08.859000000,1,0
46,0.21,-3.71,0.75,-30.34,286.9,-2.76,0 days 00:00:09.032000000,1,0
47,-0.98,-4.07,0.12,-39.73,278.75,4.92,0 days 00:00:09.211000000,1,0
48,-0.87,-4.01,0.31,12.82,40.72,-2.84,0 days 00:00:09.394000000,1,0
49,-0.49,-3.89,0.43,6.15,-2.32,-2.02,0 days 00:00:09.580000000,0,0
50,-0.52,-3.95,0.47,3.71,-3.11,-2.03,0 days 00:00:09.775000000,0,0
51,-0.55,-3.91,0.42,2.58,-1.25,1.16,0 days 00:00:10.032000000,0,0
52,-0.57,-3.95,0.43,4.41,-0.67,-1.04,0 days 00:00:10.155000000,0,0
53,-0.56,-3.94,0.46,4.18,-3.13,-2.95,0 days 00:00:10.380000000,0,0
54,-0.56,-3.95,0.45,4.31,-0.73,-0.52,0 days 00:00:10.492000000,0,0
55,-0.52,-3.96,0.43,5.68,-0.17,-4.76,0 days 00:00:10.715000000,0,0
56,-0.54,-3.91,0.46,2.18,1.3,-2.12,0 days 00:00:10.839000000,0,0
57,-0.57,-3.94,0.43,5.74,-0.29,-4.03,0 days 00:00:11.087000000,0,0
58,-0.58,-3.94,0.49,2.23,-2.32,-4.85,0 days 00:00:11.213000000,0,0
59,-0.54,-3.96,0.42,3.02,-2.41,-4.85,0 days 00:00:11.348000000,0,0
60,-0.52,-3.96,0.48,1.3,-0.12,-4.63,0 days 00:00:11.608000000,0,0
61,-0.53,-3.93,0.46,3.11,-0.05,-4.96,0 days 00:00:11.742000000,0,0
62,-0.5,-3.96,0.46,3.48,-2.27,-3.79,0 days 00:00:11.883000000,0,0
63,-0.48,-3.96,0.44,3.82,-2.11,-3.44,0 days 00:00:12.160000000,0,0
64,-0.47,-4.0,0.46,3.63,-1.16,-4.82,0 days 00:00:12.308000000,0,0
65,-0.52,-3.98,0.43,3.59,-0.46,-3.15,0 days 00:00:12.459000000,0,0
66,-0.47,-3.97,0.44,2.7,-1.27,-3.44,0 days 00:00:12.614000000,0,0
67,-0.52,-3.98,0.45,3.97,-2.31,-1.1,0 days 00:00:12.771000000,0,0
68,-0.52,-3.97,0.47,2.49,-2.27,-2.08,0 days 00:00:12.933000000,0,0
69,-0.54,-3.95,0.46,2.66,-1.53,-3.83,0 days 00:00:13.268000000,1,0
70,-0.54,-3.96,0.44,2.43,0.09,-3.62,0 days 00:00:13.460000000,1,0
71,-0.56,-3.94,0.45,1.62,-13.31,-4.26,0 days 00:00:13.472000000,1,0
72,-1.28,-3.91,0.27,15.69,-117.73,-12.26,0 days 00:00:13.656000000,1,0
73,0.45,-3.74,0.22,66.7,-445.54,-4.49,0 days 00:00:13.845000000,1,0
74,0.75,-4.07,0.9,-57.1,202.84,3.79,0 days 00:00:14.044000000,1,0
75,-0.37,-4.09,0.15,-38.03,305.98,13.91,0 days 00:00:14.240000000,1,0
76,-1.04,-3.99,0.18,11.19,117.22,-4.87,0 days 00:00:14.446000000,1,0
77,-0.35,-3.96,0.37,15.6,-2.47,-2.78,0 days 00:00:14.725000000,0,0
78,-0.4,-3.95,0.38,4.87,-2.56,-5.33,0 days 00:00:14.737000000,0,0
79,-0.21,-4.0,0.37,12.11,14.43,-6.08,0 days 00:00:14.973000000,0,0
80,-0.38,-3.93,0.51,3.83,0.05,-1.56,0 days 00:00:15.198000000,0,0
