,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isLeftLean,isWalk
0,-0.95,-3.89,0.75,-1.62,-2.98,-1.16,0 days 00:00:04.434000000,1,0
1,-1.01,-3.34,0.98,-19.91,-94.23,-21.86,0 days 00:00:04.600000000,1,0
2,-0.25,-3.81,0.21,-152.29,-64.96,-22.56,0 days 00:00:04.769000000,1,0
3,-0.75,-3.87,-0.84,-140.55,-8.21,13.04,0 days 00:00:04.964000000,1,0
4,-0.86,-3.89,-1.49,-7.28,-1.53,7.73,0 days 00:00:05.162000000,1,0
5,-0.71,-4.03,-1.25,98.64,66.64,-10.96,0 days 00:00:05.321000000,1,0
6,-0.64,-3.84,-0.22,137.16,55.98,-12.93,0 days 00:00:05.527000000,1,0
7,-0.5,-3.82,0.33,32.4,20.44,4.35,0 days 00:00:05.695000000,1,0
8,-0.63,-3.91,0.27,8.02,5.31,-3.88,0 days 00:00:05.861000000,1,0
9,-0.54,-3.94,0.3,7.83,-0.93,-1.45,0 days 00:00:06.033000000,0,0
10,-0.63,-3.92,0.3,5.45,-0.23,0.37,0 days 00:00:06.257000000,0,0
11,-0.58,-3.95,0.33,7.19,-1.18,-2.03,0 days 00:00:06.439000000,0,0
12,-0.63,-3.94,0.3,4.15,0.53,-3.01,0 days 00:00:06.572000000,0,0
13,-0.59,-3.9,0.37,4.53,-6.72,2.81,0 days 00:00:06.757000000,0,0
14,-0.62,-3.96,0.34,1.18,0.32,-3.04,0 days 00:00:06.949000000,0,0
15,-0.65,-3.94,0.33,3.3,-4.73,-4.27,0 days 00:00:07.093000000,0,0
16,-0.64,-3.98,0.4,3.51,-4.06,-2.24,0 days 00:00:07.299000000,0,0
17,-0.73,-3.91,0.36,3.08,0.72,-1.11,0 days 00:00:07.448000000,0,0
18,-0.68,-3.94,0.37,2.29,-2.18,-4.34,0 days 00:00:07.665000000,0,0
19,-0.67,-3.8,0.38,-2.56,0.15,-8.27,0 days 00:00:07.822000000,0,0
20,-0.63,-3.94,0.31,3.54,-1.04,-4.11,0 days 00:00:07.984000000,0,0
21,-0.63,-3.93,0.29,3.48,-3.05,-3.65,0 days 00:00:08.144000000,0,0
22,-0.72,-3.87,0.35,-11.4,-8.81,-1.24,0 days 00:00:08.310000000,1,0
23,-0.75,-3.59,0.05,-119.04,-21.98,-12.29,0 days 00:00:08.546000000,1,0
24,-0.7,-3.98,-1.16,-138.7,-36.09,-13.44,0 days 00:00:08.717000000,1,0
25,-1.0,-3.96,-1.79,-37.98,-12.56,7.74,0 days 00:00:08.895000000,1,0
26,-0.47,-3.75,-1.56,63.86,3.97,-3.19,0 days 00:00:09.095000000,1,0
27,-0.61,-3.75,-0.89,139.56,49.77,-6.37,0 days 00:00:09.271000000,1,0
28,-0.68,-3.56,-0.14,87.1,18.89,-1.83,0 days 00:00:09.469000000,1,0
29,-0.49,-3.9,0.16,46.35,0.21,-9.85,0 days 00:00:09.578000000,1,0
30,-0.56,-4.05,0.42,47.01,18.64,4.17,0 days 00:00:09.770000000,1,0
31,-0.5,-3.94,0.5,1.11,2.17,-1.42,0 days 00:00:09.969000000,1,0
32,-0.42,-4.0,0.49,4.96,-0.23,-5.92,0 days 00:00:10.174000000,0,0
33,-0.52,-3.92,0.42,2.63,-4.52,0.34,0 days 00:00:10.300000000,0,0
34,-0.5,-3.99,0.5,7.22,-1.42,0.4,0 days 00:00:10.516000000,0,0
35,-0.61,-3.98,0.43,1.15,-3.51,1.83,0 days 00:00:10.735000000,0,0
36,-0.58,-3.97,0.47,3.19,-3.73,-1.71,0 days 00:00:10.865000000,0,0
37,-0.6,-3.95,0.43,-1.73,5.68,-5.42,0 days 00:00:10.999000000,0,0
38,-0.57,-3.94,0.44,3.02,-7.19,-0.49,0 days 00:00:11.230000000,0,0
39,-0.62,-3.94,0.43,3.45,-2.24,-2.21,0 days 00:00:11.364000000,0,0
40,-0.6,-3.91,0.42,3.39,-2.27,-5.56,0 days 00:00:11.608000000,0,0
41,-0.57,-3.93,0.46,2.76,-0.64,-5.18,0 days 00:00:11.758000000,0,0
42,-0.53,-3.93,0.44,2.95,-0.85,-3.6,0 days 00:00:11.901000000,0,0
43,-0.54,-3.96,0.43,3.65,-0.79,-2.87,0 days 00:00:12.165000000,0,0
44,-0.64,-3.91,0.45,3.08,-1.33,-1.83,0 days 00:00:12.321000000,0,0
45,-0.61,-3.95,0.42,0.82,-3.37,-2.03,0 days 00:00:12.475000000,0,0
46,-0.63,-3.85,0.45,-8.23,-4.37,-0.4,0 days 00:00:12.629000000,0,0
47,-0.65,-3.74,0.22,-75.28,-27.56,-9.11,0 days 00:00:12.791000000,1,0
48,-0.57,-4.04,-0.68,-139.5,-40.99,-0.32,0 days 00:00:12.957000000,1,0
49,-0.5,-3.64,-1.06,-83.95,-41.02,-4.5,0 days 00:00:13.260000000,1,0
50,-0.95,-3.65,-1.63,-20.84,-15.59,16.35,0 days 00:00:13.435000000,1,0
51,-0.72,-3.9,-1.61,64.0,24.34,-2.35,0 days 00:00:13.604000000,1,0
52,-0.75,-3.78,-0.8,138.41,56.85,-14.6,0 days 00:00:13.774000000,1,0
53,-0.38,-3.82,-0.04,83.65,16.32,-10.64,0 days 00:00:13.987000000,1,0
54,-0.41,-3.86,0.16,41.11,14.96,1.54,0 days 00:00:14.201000000,1,0
55,-0.46,-3.94,0.45,23.08,-0.99,-3.37,0 days 00:00:14.235000000,0,0
56,-0.43,-3.94,0.47,15.8,3.36,-13.94,0 days 00:00:14.426000000,0,0
57,-0.39,-3.95,0.48,2.05,2.18,-3.28,0 days 00:00:14.618000000,0,0
58,-0.41,-4.0,0.41,-6.63,-4.53,-1.18,0 days 00:00:14.813000000,0,0
59,-0.38,-3.97,0.45,2.85,-4.84,-3.54,0 days 00:00:15.023000000,0,0
60,-0.39,-3.97,0.4,-3.77,-3.88,-6.34,0 days 00:00:15.240000000,0,0
61,-0.39,-4.0,0.38,-0.21,-0.41,-9.33,0 days 00:00:15.274000000,0,0
62,-0.3,-3.99,0.32,1.1,0.66,-11.76,0 days 00:00:15.494000000,0,0
63,-0.28,-3.97,0.35,4.41,0.05,-9.11,0 days 00:00:15.718000000,0,0
64,-0.29,-3.98,0.32,4.29,0.11,-7.04,0 days 00:00:15.952000000,0,0
65,-0.23,-3.99,0.35,4.29,-2.4,-7.79,0 days 00:00:16.180000000,0,0
66,-0.21,-4.01,0.37,1.89,-0.98,-5.92,0 days 00:00:16.214000000,0,0
