,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isLeftRoll,isWalk
0,-0.5,-3.91,0.64,0.67,4.11,-1.45,0 days 00:00:00.000000000,0,0
1,-0.4,-3.94,0.66,-0.78,-1.59,-4.69,0 days 00:00:00.181000000,0,0
2,-0.45,-3.94,0.64,4.64,-0.66,-1.24,0 days 00:00:00.361000000,0,0
3,-0.48,-3.96,0.64,3.45,-0.7,-3.71,0 days 00:00:00.520000000,0,0
4,-0.57,-3.96,0.63,4.15,0.95,-5.07,0 days 00:00:00.695000000,0,0
5,-0.46,-4.01,0.62,2.6,1.66,-10.44,0 days 00:00:00.870000000,0,0
6,-0.43,-3.94,0.64,3.48,3.56,-10.03,0 days 00:00:01.051000000,0,0
7,-0.33,-4.02,0.7,5.94,1.86,-14.23,0 days 00:00:01.287000000,0,0
8,-0.38,-3.93,0.72,4.44,6.72,-5.05,0 days 00:00:01.417000000,0,0
9,-0.37,-3.99,0.66,2.58,-0.24,-11.08,0 days 00:00:01.597000000,0,0
10,-0.29,-4.0,0.66,3.48,3.44,-0.41,0 days 00:00:01.782000000,0,0
11,-0.18,-3.97,0.66,0.23,3.77,-9.53,0 days 00:00:01.956000000,0,0
12,-0.22,-4.01,0.65,6.06,-1.22,-3.89,0 days 00:00:02.115000000,0,0
13,-0.25,-4.0,0.67,2.96,-2.84,-6.5,0 days 00:00:02.293000000,0,0
14,-0.22,-4.01,0.68,4.17,-0.67,-6.58,0 days 00:00:02.480000000,0,0
15,-0.15,-3.92,0.66,0.44,0.44,-4.58,0 days 00:00:02.666000000,0,0
16,-0.17,-4.0,0.68,5.5,1.83,-3.76,0 days 00:00:02.831000000,0,0
17,-0.15,-3.98,0.67,6.31,-7.53,-4.9,0 days 00:00:03.028000000,0,0
18,-0.24,-3.99,0.66,2.34,2.08,-5.11,0 days 00:00:03.203000000,0,0
19,-0.17,-3.98,0.65,3.08,-2.67,-4.73,0 days 00:00:03.382000000,0,0
20,-0.22,-3.97,0.67,4.47,1.3,-2.2,0 days 00:00:03.539000000,0,0
21,-0.18,-3.96,0.67,3.28,-2.29,-3.3,0 days 00:00:03.698000000,0,0
22,-0.19,-3.99,0.67,3.66,-1.16,-2.32,0 days 00:00:03.888000000,0,0
23,-0.2,-3.97,0.72,2.87,0.85,-4.34,0 days 00:00:04.082000000,0,0
24,-0.2,-3.94,0.69,1.88,-1.91,-2.17,0 days 00:00:04.249000000,0,0
25,-0.2,-4.0,0.67,3.4,-1.57,-4.17,0 days 00:00:04.415000000,0,0
26,-0.17,-3.98,0.67,5.83,3.05,-1.94,0 days 00:00:04.620000000,1,0
27,-0.24,-3.97,0.69,4.81,5.98,6.78,0 days 00:00:04.800000000,1,0
28,-0.3,-3.97,0.72,3.97,3.57,5.16,0 days 00:00:04.978000000,1,0
29,-0.25,-4.01,0.75,5.07,3.5,9.01,0 days 00:00:05.121000000,1,0
30,-0.73,-3.62,0.82,-47.28,-7.04,53.36,0 days 00:00:05.301000000,1,0
31,-1.34,-3.87,-0.1,-155.73,-65.73,63.98,0 days 00:00:05.485000000,1,0
32,-1.45,-3.77,-0.77,-109.71,-74.95,-22.53,0 days 00:00:05.676000000,1,0
33,-0.83,-3.53,-1.35,-61.24,-57.36,-212.73,0 days 00:00:05.832000000,1,0
34,1.17,-3.79,-1.45,25.19,78.64,-284.37,0 days 00:00:06.080000000,1,0
35,2.48,-2.96,-0.76,68.43,119.4,-170.93,0 days 00:00:06.212000000,1,0
36,3.37,-2.79,0.01,70.85,247.63,-5.56,0 days 00:00:06.437000000,1,0
37,1.56,-2.62,1.69,14.0,122.58,175.47,0 days 00:00:06.602000000,1,0
38,-0.05,-3.55,1.56,-86.08,25.63,214.02,0 days 00:00:06.774000000,1,0
39,-0.85,-4.09,0.8,-72.29,-35.44,76.61,0 days 00:00:06.948000000,1,0
40,-0.29,-4.07,0.59,-22.2,-38.7,-7.28,0 days 00:00:07.123000000,1,0
41,-0.12,-3.94,0.67,1.98,-3.37,-10.14,0 days 00:00:07.300000000,1,0
42,-0.02,-4.07,0.63,0.11,6.75,-5.13,0 days 00:00:07.481000000,1,0
43,-0.09,-4.06,0.68,3.27,-3.97,-13.08,0 days 00:00:07.664000000,1,0
44,-0.1,-4.05,0.63,3.3,-2.69,-6.79,0 days 00:00:07.853000000,0,0
45,-0.1,-4.01,0.61,3.45,-4.76,1.04,0 days 00:00:08.041000000,0,0
46,-0.14,-4.07,0.54,-1.3,-1.74,-4.82,0 days 00:00:08.171000000,0,0
47,-0.09,-3.97,0.58,1.45,-2.27,-2.2,0 days 00:00:08.371000000,0,0
48,-0.14,-3.96,0.52,4.55,1.48,-3.3,0 days 00:00:08.571000000,0,0
49,-0.1,-3.99,0.56,4.15,-0.79,-2.21,0 days 00:00:08.706000000,0,0
50,-0.14,-4.04,0.56,3.3,-1.76,-4.5,0 days 00:00:08.915000000,0,0
51,-0.12,-4.05,0.57,3.91,-1.88,-2.12,0 days 00:00:09.053000000,1,0
52,-0.08,-3.98,0.58,2.87,0.34,-1.05,0 days 00:00:09.278000000,1,0
53,-0.34,-3.8,0.69,-32.47,-6.26,22.05,0 days 00:00:09.421000000,1,0
54,-0.56,-3.77,-0.04,-148.82,-75.3,42.67,0 days 00:00:09.573000000,1,0
55,-0.75,-3.9,-1.18,-133.95,-64.37,-21.6,0 days 00:00:09.874000000,1,0
56,-0.41,-3.63,-1.73,-62.7,-59.05,-194.61,0 days 00:00:09.950000000,1,0
