,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isOnly,isWalk
0,-1.62,-3.6,1.0,3.95,-1.44,-0.49,0 days 00:00:00.000000000,0,0
1,-1.63,-3.59,0.95,3.54,-1.74,-1.98,0 days 00:00:00.021000000,0,0
2,-1.64,-3.58,1.0,3.62,-0.55,-2.31,0 days 00:00:00.043000000,0,0
3,-1.66,-3.57,1.01,4.53,-0.06,-2.93,0 days 00:00:00.159000000,0,0
4,-1.65,-3.56,0.99,3.85,-1.36,-4.58,0 days 00:00:00.342000000,0,0
5,-1.66,-3.57,0.97,3.51,-3.53,-1.62,0 days 00:00:00.488000000,0,0
6,-1.65,-3.58,0.97,3.47,-1.22,-3.82,0 days 00:00:00.671000000,0,0
7,-1.67,-3.58,0.98,3.94,-2.56,-3.62,0 days 00:00:00.858000000,0,0
8,-1.64,-3.57,1.0,3.57,-1.92,-3.33,0 days 00:00:01.048000000,0,0
9,-1.67,-3.58,1.04,3.53,-1.18,-3.01,0 days 00:00:01.210000000,0,0
10,-1.68,-3.54,0.98,2.7,-2.18,-3.24,0 days 00:00:01.409000000,0,0
11,-1.7,-3.53,1.03,2.66,-1.11,-4.31,0 days 00:00:01.575000000,0,0
12,-1.67,-3.56,1.01,2.98,-1.13,-2.5,0 days 00:00:01.756000000,0,0
13,-1.67,-3.58,0.99,2.46,-0.93,-4.32,0 days 00:00:01.933000000,0,0
14,-1.65,-3.59,0.97,2.75,-1.19,-3.25,0 days 00:00:02.114000000,0,0
15,-1.64,-3.58,0.98,3.08,-1.04,-3.15,0 days 00:00:02.278000000,0,0
16,-1.68,-3.57,1.0,2.93,-0.92,-2.67,0 days 00:00:02.452000000,0,0
17,-1.67,-3.58,1.01,2.89,-2.05,-3.48,0 days 00:00:02.644000000,0,0
18,-1.68,-3.57,0.96,3.88,-0.79,-4.21,0 days 00:00:02.802000000,0,0
19,-1.65,-3.57,0.99,3.27,-1.05,-3.16,0 days 00:00:02.984000000,0,0
20,-1.67,-3.56,0.99,3.18,-1.47,-3.5,0 days 00:00:03.172000000,0,0
21,-1.65,-3.59,0.98,3.3,-0.61,-2.0,0 days 00:00:03.361000000,0,0
22,-1.67,-3.56,1.0,2.53,-1.21,-3.62,0 days 00:00:03.530000000,0,0
23,-1.67,-3.57,1.0,2.73,-1.02,-2.35,0 days 00:00:03.736000000,0,0
24,-1.66,-3.54,0.97,2.27,-4.21,-3.91,0 days 00:00:03.874000000,0,0
25,-1.68,-3.57,0.96,3.37,-0.55,-2.15,0 days 00:00:04.062000000,0,0
26,-1.69,-3.56,0.97,3.77,1.15,-4.27,0 days 00:00:04.210000000,0,0
27,-1.67,-3.55,0.96,3.31,-1.01,-3.73,0 days 00:00:04.423000000,0,0
28,-1.63,-3.56,1.02,4.17,-1.01,-2.52,0 days 00:00:04.600000000,0,0
29,-1.66,-3.58,0.98,4.47,-0.47,-3.83,0 days 00:00:04.797000000,0,0
30,-1.71,-3.57,0.97,3.16,-1.05,-3.19,0 days 00:00:04.956000000,0,0
31,-1.65,-3.56,0.98,3.01,-0.75,-3.86,0 days 00:00:05.153000000,0,0
32,-1.66,-3.54,1.01,4.81,-1.18,-1.59,0 days 00:00:05.336000000,0,0
33,-1.67,-3.54,1.0,3.66,-2.75,-4.93,0 days 00:00:05.471000000,0,0
34,-1.66,-3.55,0.96,3.79,-0.7,-3.98,0 days 00:00:05.673000000,0,0
35,-1.67,-3.56,0.96,3.02,-1.42,-4.31,0 days 00:00:05.869000000,0,0
36,-1.68,-3.56,0.97,3.51,-1.25,-2.35,0 days 00:00:06.048000000,0,0
37,-1.65,-3.63,1.0,4.02,-0.75,-2.53,0 days 00:00:06.190000000,0,0
38,-1.66,-3.55,0.96,3.08,-1.56,-4.18,0 days 00:00:06.347000000,0,0
39,-1.64,-3.57,0.97,2.85,-0.31,-1.77,0 days 00:00:06.524000000,0,0
40,-1.66,-3.57,0.99,3.51,-0.52,-3.53,0 days 00:00:06.716000000,0,0
41,-1.67,-3.59,0.97,3.62,-1.86,-2.85,0 days 00:00:06.938000000,0,0
42,-1.71,-3.55,0.99,3.05,-0.21,-3.79,0 days 00:00:07.126000000,0,0
43,-1.68,-3.57,0.98,3.68,-0.69,-3.01,0 days 00:00:07.301000000,0,0
44,-1.65,-3.55,0.98,4.05,-2.26,-3.63,0 days 00:00:07.392000000,0,0
45,-1.67,-3.58,1.02,3.31,-0.11,-3.68,0 days 00:00:07.600000000,0,0
46,-1.68,-3.54,0.96,3.1,-0.87,-1.85,0 days 00:00:07.797000000,0,0
47,-1.7,-3.59,0.98,3.98,-1.66,-2.35,0 days 00:00:07.972000000,0,0
48,-1.67,-3.59,1.0,4.75,-1.83,-0.99,0 days 00:00:08.145000000,0,0
49,-1.68,-3.58,0.99,3.25,-1.45,-3.82,0 days 00:00:08.340000000,0,0
