,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isRight,isWalk
0,-0.56,-4.0,0.61,1.65,1.92,-2.0,0 days 00:00:04.316000000,0,0
1,-0.52,-3.97,0.58,2.38,8.69,-4.58,0 days 00:00:04.468000000,0,0
2,-0.62,-3.92,0.61,4.02,-2.05,-0.09,0 days 00:00:04.657000000,0,0
3,-0.59,-3.93,0.58,1.95,-2.43,-1.13,0 days 00:00:04.848000000,0,0
4,-0.65,-3.95,0.59,2.56,-0.43,-2.66,0 days 00:00:05.013000000,0,0
5,-0.61,-3.92,0.57,3.95,0.69,-2.15,0 days 00:00:05.216000000,0,0
6,-0.63,-3.9,0.61,3.21,-2.32,-2.29,0 days 00:00:05.389000000,0,0
7,-0.63,-3.95,0.58,2.12,-3.07,-3.4,0 days 00:00:05.561000000,0,0
8,-0.64,-3.96,0.63,2.58,-3.31,-3.21,0 days 00:00:05.742000000,0,0
9,-0.59,-3.93,0.56,1.66,-0.61,-4.18,0 days 00:00:05.883000000,0,0
10,-0.62,-3.94,0.6,3.04,0.17,-4.2,0 days 00:00:06.074000000,0,0
11,-0.61,-3.93,0.59,3.95,-1.76,-1.53,0 days 00:00:06.270000000,0,0
12,-0.63,-3.92,0.59,3.42,-3.31,-0.41,0 days 00:00:06.422000000,0,0
13,-0.64,-3.93,0.61,3.02,-2.21,-0.31,0 days 00:00:06.634000000,0,0
14,-0.71,-3.95,0.59,3.94,-1.56,-1.73,0 days 00:00:06.798000000,0,0
15,-0.7,-3.93,0.57,3.65,-1.6,-0.03,0 days 00:00:07.015000000,0,0
16,-0.73,-3.93,0.56,2.99,-0.92,-1.36,0 days 00:00:07.137000000,1,0
17,-0.54,-3.89,0.63,2.75,4.15,-6.84,0 days 00:00:07.369000000,1,0
18,0.2,-3.82,0.28,-28.93,207.51,-12.46,0 days 00:00:07.486000000,1,0
19,-1.41,-4.22,-0.24,-17.39,169.86,-8.98,0 days 00:00:07.678000000,1,0
20,-0.99,-4.15,-0.15,27.88,-112.58,-10.46,0 days 00:00:07.874000000,1,0
21,-0.03,-3.93,0.2,40.92,-217.11,-22.81,0 days 00:00:08.084000000,1,0
22,0.06,-3.97,0.63,23.24,-106.73,-5.36,0 days 00:00:08.230000000,1,0
23,-0.38,-4.02,0.57,-5.33,-4.18,-3.28,0 days 00:00:08.460000000,1,0
24,-0.43,-3.96,0.51,0.78,-0.05,-2.47,0 days 00:00:08.648000000,0,0
25,-0.41,-3.97,0.53,-1.24,5.18,-0.96,0 days 00:00:08.738000000,0,0
26,-0.39,-3.95,0.48,0.64,-1.97,2.24,0 days 00:00:08.910000000,0,0
27,-0.49,-3.98,0.44,3.82,-5.28,-0.26,0 days 00:00:09.154000000,0,0
28,-0.47,-3.96,0.51,3.19,-1.04,0.43,0 days 00:00:09.327000000,0,0
29,-0.5,-3.94,0.5,3.53,-0.49,-3.22,0 days 00:00:09.508000000,0,0
30,-0.49,-3.95,0.53,3.54,-1.8,-4.93,0 days 00:00:09.693000000,0,0
31,-0.5,-3.97,0.48,0.95,-0.31,-7.18,0 days 00:00:09.885000000,0,0
32,-0.46,-3.96,0.48,1.4,4.69,-4.49,0 days 00:00:09.987000000,0,0
33,-0.39,-3.97,0.46,5.37,-1.16,-10.0,0 days 00:00:10.190000000,0,0
34,-0.39,-3.98,0.47,4.09,-2.72,-13.59,0 days 00:00:10.398000000,0,0
35,-0.35,-3.97,0.45,1.82,0.82,-9.79,0 days 00:00:10.509000000,0,0
36,-0.25,-3.99,0.53,7.47,-5.77,-13.71,0 days 00:00:10.726000000,0,0
37,-0.2,-3.98,0.48,4.08,-2.06,-4.35,0 days 00:00:10.957000000,0,0
38,-0.3,-4.0,0.52,2.96,0.21,-0.9,0 days 00:00:11.080000000,0,0
39,-0.24,-3.97,0.46,1.95,-1.77,-2.14,0 days 00:00:11.316000000,0,0
40,-0.29,-4.02,0.45,3.56,-0.69,-2.61,0 days 00:00:11.444000000,0,0
41,-0.3,-3.99,0.47,3.74,0.12,-3.5,0 days 00:00:11.578000000,1,0
42,-0.34,-3.99,0.47,4.87,-1.36,-1.31,0 days 00:00:11.834000000,1,0
43,0.62,-3.63,0.47,-15.6,116.87,-3.33,0 days 00:00:11.970000000,1,0
44,0.26,-3.87,-0.24,-18.53,315.82,-14.46,0 days 00:00:12.115000000,1,0
45,-1.55,-4.31,-0.37,-7.82,177.69,14.34,0 days 00:00:12.400000000,1,0
46,-0.61,-3.95,-0.08,43.02,-200.43,-21.25,0 days 00:00:12.553000000,1,0
47,0.38,-4.08,0.25,20.53,-274.26,0.85,0 days 00:00:12.704000000,1,0
48,0.1,-3.97,0.4,8.93,-100.55,17.22,0 days 00:00:12.871000000,1,0
49,-0.07,-4.0,0.54,2.58,-28.73,-1.6,0 days 00:00:13.037000000,1,0
50,-0.29,-4.06,0.44,8.72,-3.04,0.34,0 days 00:00:13.219000000,1,0
51,-0.38,-3.94,0.53,4.9,-6.96,6.03,0 days 00:00:13.464000000,0,0
52,-0.36,-3.96,0.5,-1.24,-0.34,0.4,0 days 00:00:13.662000000,0,0
53,-0.41,-3.95,0.5,2.06,-6.05,1.51,0 days 00:00:13.857000000,0,0
54,-0.43,-3.95,0.53,4.67,0.63,-1.71,0 days 00:00:14.053000000,0,0
55,-0.39,-3.96,0.48,2.72,-2.08,-2.69,0 days 00:00:14.254000000,0,0
56,-0.41,-3.96,0.5,3.53,0.4,-1.6,0 days 00:00:14.263000000,0,0
57,-0.41,-3.98,0.53,2.75,-4.06,-0.98,0 days 00:00:14.472000000,0,0
58,-0.47,-3.96,0.5,2.38,1.77,-2.82,0 days 00:00:14.678000000,0,0
59,-0.47,-3.95,0.5,3.83,-2.32,-10.32,0 days 00:00:14.904000000,0,0
60,-0.46,-3.99,0.47,3.8,-1.57,0.72,0 days 00:00:15.136000000,0,0
61,-0.43,-3.96,0.49,1.76,-0.14,-6.52,0 days 00:00:15.146000000,0,0
62,-0.43,-3.93,0.49,3.63,-1.59,-3.73,0 days 00:00:15.398000000,0,0
63,-0.45,-3.94,0.47,3.37,0.03,-3.68,0 days 00:00:15.688000000,0,0
64,-0.41,-3.97,0.52,3.66,1.22,-3.45,0 days 00:00:15.704000000,0,0
65,-0.4,-3.97,0.52,4.6,0.02,-5.01,0 days 00:00:15.959000000,0,0
66,-0.44,-3.96,0.52,2.89,-0.72,-1.85,0 days 00:00:16.219000000,0,0
67,-0.42,-3.91,0.54,2.99,1.18,-3.28,0 days 00:00:16.231000000,0,0
68,-0.45,-3.95,0.53,4.12,-3.22,-4.27,0 days 00:00:16.505000000,0,0
69,-0.44,-3.99,0.52,3.92,-1.83,-2.64,0 days 00:00:16.781000000,1,0
70,-0.44,-3.96,0.49,4.31,-0.18,-2.67,0 days 00:00:16.793000000,1,0
71,-0.34,-3.92,0.47,2.12,28.49,-2.32,0 days 00:00:17.079000000,1,0
72,0.56,-3.82,0.25,-23.05,230.0,-4.18,0 days 00:00:17.091000000,1,0
73,-0.9,-3.99,-0.64,-51.86,330.34,8.46,0 days 00:00:17.384000000,1,0
74,-0.94,-3.86,-0.23,45.21,-108.72,-6.52,0 days 00:00:17.688000000,1,0
75,-0.02,-3.88,-0.05,46.76,-256.24,-13.05,0 days 00:00:17.698000000,1,0
76,-0.09,-3.78,0.53,27.88,-135.57,-0.98,0 days 00:00:18.017000000,1,0
77,-0.15,-3.98,0.61,-14.2,-39.77,-0.09,0 days 00:00:18.032000000,1,0
78,-0.31,-3.98,0.53,-6.0,-14.41,-0.14,0 days 00:00:18.423000000,1,0
79,-0.34,-4.0,0.47,-1.92,-0.53,-1.89,0 days 00:00:18.433000000,1,0
80,-0.36,-3.97,0.47,2.58,-1.74,-2.05,0 days 00:00:18.775000000,0,0
81,-0.4,-3.96,0.43,5.18,-0.58,-4.2,0 days 00:00:18.786000000,0,0
82,-0.37,-3.92,0.47,3.45,-2.37,-4.44,0 days 00:00:19.138000000,0,0
83,-0.39,-4.0,0.47,4.66,0.18,-3.62,0 days 00:00:19.148000000,0,0
84,-0.39,-3.95,0.49,5.3,-0.15,-3.39,0 days 00:00:19.511000000,0,0
85,-0.4,-3.96,0.44,3.66,-1.16,-5.13,0 days 00:00:19.523000000,0,0
86,-0.39,-3.96,0.51,4.72,-0.38,-2.84,0 days 00:00:19.897000000,0,0
87,-0.38,-3.96,0.49,2.96,-2.84,-3.28,0 days 00:00:19.910000000,0,0
88,-0.39,-3.97,0.51,3.6,-1.02,-3.33,0 days 00:00:19.920000000,0,0
89,-0.42,-3.96,0.5,3.53,0.17,-2.44,0 days 00:00:20.308000000,0,0
90,-0.38,-3.94,0.5,0.64,-0.32,1.98,0 days 00:00:20.319000000,0,0
91,-0.44,-3.95,0.51,3.95,-3.24,-1.28,0 days 00:00:20.717000000,0,0
92,-0.41,-3.98,0.48,3.48,-1.33,-3.5,0 days 00:00:20.730000000,0,0
93,-0.42,-3.97,0.49,3.92,-0.84,-2.99,0 days 00:00:21.156000000,0,0
94,-0.42,-3.96,0.44,3.63,-0.84,-3.66,0 days 00:00:21.167000000,0,0
95,-0.44,-3.98,0.48,3.07,-0.93,-4.27,0 days 00:00:21.179000000,0,0
96,-0.42,-3.95,0.49,3.25,-1.1,-1.28,0 days 00:00:21.615000000,0,0
97,-0.39,-3.96,0.5,4.21,-0.89,-2.96,0 days 00:00:21.628000000,0,0
98,-0.45,-3.97,0.47,4.6,-0.32,-3.68,0 days 00:00:22.082000000,1,0
99,-0.42,-3.96,0.51,5.79,1.28,-4.53,0 days 00:00:22.095000000,1,0
100,0.14,-3.98,0.61,6.47,46.93,-2.82,0 days 00:00:22.107000000,1,0
101,0.22,-3.86,-0.18,-40.66,334.46,-12.63,0 days 00:00:22.594000000,1,0
102,-1.79,-4.39,-0.46,-3.85,134.31,6.12,0 days 00:00:22.607000000,1,0
103,-0.71,-3.98,-0.2,35.91,-179.68,-23.31,0 days 00:00:22.618000000,1,0
104,0.24,-3.84,0.1,55.79,-255.57,-15.33,0 days 00:00:23.211000000,1,0
105,0.18,-3.87,0.67,12.66,-91.18,1.25,0 days 00:00:23.222000000,1,0
106,-0.05,-3.92,0.67,-2.35,-10.0,6.89,0 days 00:00:23.234000000,1,0
107,-0.33,-4.0,0.6,-5.3,-6.47,4.09,0 days 00:00:23.775000000,1,0
108,-0.29,-3.99,0.59,-0.15,-4.5,3.83,0 days 00:00:23.787000000,1,0
109,-0.38,-3.99,0.53,0.72,-1.11,0.53,0 days 00:00:23.798000000,1,0
110,-0.36,-3.98,0.56,1.13,-2.09,0.17,0 days 00:00:24.357000000,0,0
111,-0.42,-3.99,0.55,2.27,-1.31,-3.5,0 days 00:00:24.369000000,0,0
112,-0.41,-3.96,0.55,3.1,0.31,-2.09,0 days 00:00:24.382000000,0,0
113,-0.42,-3.98,0.57,4.27,1.5,-5.94,0 days 00:00:24.394000000,0,0
114,-0.4,-3.95,0.55,3.97,-0.11,-5.11,0 days 00:00:24.957000000,0,0
115,-0.4,-4.0,0.56,3.65,-1.79,-3.21,0 days 00:00:24.968000000,0,0
116,-0.4,-4.0,0.56,3.62,-0.87,-4.55,0 days 00:00:24.981000000,0,0
117,-0.39,-3.98,0.54,4.15,0.41,-2.67,0 days 00:00:25.558000000,0,0
118,-0.41,-3.97,0.58,3.77,0.81,-2.98,0 days 00:00:25.568000000,0,0
119,-0.4,-3.99,0.58,3.76,-1.59,-2.78,0 days 00:00:25.581000000,0,0
120,-0.39,-4.02,0.54,3.45,-2.92,-4.76,0 days 00:00:25.592000000,0,0
