,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isRightRoll,isWalk
0,0.11,-3.99,0.64,0.69,-1.44,3.22,0 days 00:00:00.000000000,0,0
1,0.1,-3.98,0.64,1.77,-3.8,3.82,0 days 00:00:00.180000000,0,0
2,0.04,-4.0,0.6,3.77,2.82,-2.53,0 days 00:00:00.360000000,0,0
3,-0.04,-3.99,0.65,2.82,-2.73,0.85,0 days 00:00:00.540000000,0,0
4,0.04,-4.01,0.63,4.38,-0.56,-2.73,0 days 00:00:00.695000000,0,0
5,-0.02,-4.04,0.64,3.89,-2.92,0.52,0 days 00:00:00.870000000,0,0
6,0.0,-4.02,0.64,5.45,1.44,1.48,0 days 00:00:01.050000000,0,0
7,0.02,-3.95,0.63,4.14,-8.75,-6.38,0 days 00:00:01.230000000,0,0
8,0.01,-3.98,0.68,8.89,0.02,0.18,0 days 00:00:01.410000000,0,0
9,-0.06,-4.08,0.69,3.21,-4.44,-2.63,0 days 00:00:01.590000000,0,0
10,0.11,-4.06,0.67,8.15,-11.48,-7.95,0 days 00:00:01.744000000,0,0
11,0.03,-4.0,0.73,3.11,4.55,-5.04,0 days 00:00:01.920000000,0,0
12,0.03,-4.01,0.71,2.76,-5.47,-3.77,0 days 00:00:02.100000000,0,0
13,-0.08,-4.03,0.7,5.85,3.83,5.89,0 days 00:00:02.280000000,0,0
14,-0.11,-4.03,0.7,6.32,-2.24,-0.21,0 days 00:00:02.460000000,0,0
15,-0.04,-3.93,0.73,3.45,-4.53,0.0,0 days 00:00:02.640000000,0,0
16,-0.11,-4.01,0.75,5.33,-0.47,0.99,0 days 00:00:02.820000000,0,0
17,-0.1,-3.98,0.78,3.88,-1.57,-1.76,0 days 00:00:03.000000000,0,0
18,-0.11,-3.97,0.74,3.94,-1.56,3.51,0 days 00:00:03.156000000,0,0
19,-0.18,-4.02,0.74,6.5,-6.6,-1.54,0 days 00:00:03.344000000,0,0
20,-0.21,-4.0,0.75,5.86,2.76,2.95,0 days 00:00:03.541000000,0,0
21,-0.17,-4.05,0.72,23.83,0.26,8.27,0 days 00:00:03.711000000,1,0
22,-0.37,-3.99,0.95,82.32,14.87,25.89,0 days 00:00:03.888000000,1,0
23,-0.64,-3.82,1.56,107.1,14.05,8.38,0 days 00:00:04.071000000,1,0
24,-0.6,-3.37,2.25,138.2,56.96,-81.4,0 days 00:00:04.234000000,1,0
25,-0.42,-2.85,3.24,51.94,27.98,-164.93,0 days 00:00:04.431000000,1,0
26,0.54,-2.84,3.05,-22.79,0.93,-173.39,0 days 00:00:04.615000000,1,0
27,1.65,-2.8,2.83,-77.83,-50.69,-135.6,0 days 00:00:04.792000000,1,0
28,2.21,-3.0,1.77,-94.46,-101.83,-62.2,0 days 00:00:04.958000000,1,0
29,2.38,-3.0,0.92,-85.92,-119.71,36.26,0 days 00:00:05.184000000,1,0
30,2.26,-3.47,-0.19,-63.69,-123.24,62.06,0 days 00:00:05.339000000,1,0
31,2.12,-3.91,-0.67,21.59,-54.02,111.89,0 days 00:00:05.498000000,1,0
32,0.63,-4.14,-0.31,62.93,27.83,127.91,0 days 00:00:05.688000000,1,0
33,-0.03,-4.09,0.2,52.29,20.9,72.61,0 days 00:00:05.883000000,1,0
34,-0.02,-3.99,0.48,21.24,-11.6,14.78,0 days 00:00:06.041000000,1,0
35,-0.04,-3.95,0.58,12.49,4.95,-2.12,0 days 00:00:06.245000000,1,0
36,-0.04,-3.97,0.62,4.26,14.55,0.0,0 days 00:00:06.411000000,0,0
37,-0.16,-4.03,0.56,0.23,6.12,-0.98,0 days 00:00:06.580000000,0,0
38,-0.22,-3.99,0.61,4.27,6.37,3.07,0 days 00:00:06.754000000,0,0
39,-0.2,-4.02,0.62,11.18,-1.91,-6.49,0 days 00:00:06.930000000,0,0
40,-0.34,-4.01,0.61,1.5,3.57,2.46,0 days 00:00:07.109000000,0,0
41,-0.17,-3.98,0.57,2.5,-6.76,-7.1,0 days 00:00:07.292000000,0,0
42,-0.21,-3.97,0.61,0.69,-7.98,-5.16,0 days 00:00:07.479000000,0,0
43,-0.08,-3.96,0.68,4.09,-5.79,-11.66,0 days 00:00:07.673000000,0,0
44,-0.18,-4.01,0.65,-0.73,-2.89,-4.43,0 days 00:00:07.813000000,0,0
45,-0.16,-4.03,0.59,3.97,-1.91,2.93,0 days 00:00:08.023000000,0,0
46,-0.16,-4.0,0.61,3.53,0.03,-2.4,0 days 00:00:08.173000000,0,0
47,-0.14,-4.0,0.61,2.4,-2.23,-0.79,0 days 00:00:08.320000000,0,0
48,-0.14,-4.0,0.62,4.31,-1.08,6.98,0 days 00:00:08.539000000,1,0
49,-0.23,-3.96,0.62,19.97,-7.65,70.79,0 days 00:00:08.692000000,1,0
50,-1.15,-4.0,0.74,41.88,-0.32,151.62,0 days 00:00:08.850000000,1,0
51,-1.86,-3.73,0.96,84.99,-2.35,59.16,0 days 00:00:09.085000000,1,0
52,-2.07,-3.45,1.43,177.1,68.44,-68.98,0 days 00:00:09.259000000,1,0
53,-2.03,-2.82,2.58,116.49,17.71,-180.38,0 days 00:00:09.440000000,1,0
54,-0.55,-2.92,2.93,30.38,-17.5,-200.29,0 days 00:00:09.619000000,1,0
55,0.8,-2.77,2.79,-54.47,-58.87,-170.92,0 days 00:00:09.805000000,1,0
56,1.98,-3.21,1.86,-107.51,-69.25,-111.02,0 days 00:00:10.034000000,1,0
57,2.02,-3.31,1.25,-71.91,-85.36,-41.15,0 days 00:00:10.164000000,1,0
58,2.32,-3.41,0.4,-62.4,-134.18,29.08,0 days 00:00:10.373000000,1,0
59,1.93,-3.73,-0.48,-42.63,-95.28,80.02,0 days 00:00:10.488000000,1,0
60,1.11,-3.85,-0.32,47.56,3.07,118.44,0 days 00:00:10.700000000,1,0
61,0.33,-4.0,0.1,27.62,-8.34,35.56,0 days 00:00:10.911000000,1,0
62,0.36,-3.99,0.11,18.06,7.28,7.53,0 days 00:00:11.031000000,1,0
63,0.43,-3.91,0.29,15.92,-5.65,5.91,0 days 00:00:11.253000000,1,0
64,0.3,-4.02,0.34,7.21,-1.56,9.74,0 days 00:00:11.382000000,1,0
65,0.34,-4.05,0.31,4.43,-2.61,-1.36,0 days 00:00:11.624000000,1,0
66,0.21,-4.06,0.33,8.23,-7.88,0.61,0 days 00:00:11.757000000,0,0
67,0.26,-3.95,0.38,8.76,-9.54,-3.6,0 days 00:00:11.893000000,0,0
68,0.24,-4.03,0.3,2.9,0.89,4.06,0 days 00:00:12.151000000,0,0
69,0.25,-4.04,0.39,6.15,2.03,-4.34,0 days 00:00:12.292000000,0,0
70,0.2,-3.99,0.36,3.82,-4.75,-4.34,0 days 00:00:12.433000000,0,0
71,0.21,-4.01,0.35,5.33,1.25,-1.31,0 days 00:00:12.713000000,0,0
