,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isUp,isWalk
0,-0.28,-3.99,0.65,0.14,-4.2,-29.3,0 days 00:00:00.870000000,0,0
1,-0.2,-3.87,0.47,-2.89,0.79,-11.07,0 days 00:00:01.050000000,0,0
2,-0.16,-4.0,0.54,-0.41,12.5,-5.8,0 days 00:00:01.230000000,0,0
3,-0.25,-3.92,0.51,1.51,16.6,-7.69,0 days 00:00:01.410000000,0,0
4,-0.14,-4.03,0.51,0.47,0.24,-10.76,0 days 00:00:01.590000000,0,0
5,-0.26,-3.98,0.48,-0.12,-8.05,0.87,0 days 00:00:01.770000000,0,0
6,-0.24,-4.03,0.45,0.03,-5.16,-5.45,0 days 00:00:01.950000000,0,0
7,-0.13,-4.0,0.52,7.11,2.21,-2.26,0 days 00:00:02.130000000,0,0
8,-0.13,-3.96,0.48,3.37,-2.99,-6.31,0 days 00:00:02.310000000,0,0
9,-0.17,-3.97,0.45,1.18,9.69,-3.83,0 days 00:00:02.461000000,0,0
10,-0.16,-3.86,0.56,9.54,5.08,-4.02,0 days 00:00:02.640000000,0,0
11,-0.15,-4.03,0.56,3.13,-4.52,0.66,0 days 00:00:02.820000000,0,0
12,-0.2,-4.04,0.47,-2.76,0.55,-2.52,0 days 00:00:03.000000000,0,0
13,-0.2,-3.99,0.48,5.18,-1.89,-2.09,0 days 00:00:03.180000000,0,0
14,-0.24,-3.97,0.52,3.77,-1.6,-0.37,0 days 00:00:03.360000000,0,0
15,-0.23,-4.0,0.52,2.66,-2.52,-1.28,0 days 00:00:03.540000000,0,0
16,-0.25,-4.01,0.47,3.5,-2.7,-2.6,0 days 00:00:03.750000000,0,0
17,-0.2,-3.99,0.49,5.21,-1.15,-1.71,0 days 00:00:03.910000000,0,0
18,-0.22,-4.01,0.55,3.36,0.06,-3.53,0 days 00:00:04.060000000,0,0
19,-0.29,-4.0,0.47,3.48,-0.08,-1.48,0 days 00:00:04.261000000,0,0
20,-0.25,-4.0,0.49,5.34,-1.68,-3.45,0 days 00:00:04.411000000,0,0
21,-0.35,-4.03,0.52,3.86,-0.76,-5.94,0 days 00:00:04.596000000,0,0
22,-0.04,-4.02,0.55,0.96,5.01,-139.73,0 days 00:00:04.782000000,1,0
