,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isDown,isWalk
0,-1.2,-3.81,0.39,4.47,-4.79,-3.44,0 days 00:00:00.000000000,0,1
1,-1.23,-3.76,0.43,7.18,1.68,-5.89,0 days 00:00:00.149000000,0,1
2,-1.06,-3.82,0.5,7.31,-0.66,-9.5,0 days 00:00:00.299000000,0,1
3,-1.03,-3.86,0.5,3.94,-4.0,-5.28,0 days 00:00:00.479000000,0,1
4,-1.04,-3.83,0.48,6.64,15.47,-12.61,0 days 00:00:00.659000000,0,1
5,-1.12,-3.77,0.45,3.04,23.62,4.9,0 days 00:00:00.839000000,0,1
6,-1.16,-3.8,0.41,5.21,6.46,0.73,0 days 00:00:01.019000000,0,1
7,-1.25,-3.79,0.41,3.66,-1.82,4.5,0 days 00:00:01.199000000,0,1
8,-1.19,-3.81,0.42,3.1,-4.02,0.55,0 days 00:00:01.380000000,0,1
9,-1.16,-3.78,0.39,0.46,-11.31,-1.15,0 days 00:00:01.618000000,0,1
10,-1.2,-3.82,0.45,3.88,-2.82,-2.58,0 days 00:00:01.750000000,0,1
11,-1.17,-3.77,0.38,4.85,3.39,-6.31,0 days 00:00:01.893000000,0,1
12,-1.16,-3.84,0.43,0.79,-9.73,0.82,0 days 00:00:02.070000000,0,1
13,-1.13,-3.75,0.4,-6.03,0.15,-8.44,0 days 00:00:02.249000000,0,1
14,-1.06,-3.69,0.37,-12.99,-5.92,-15.89,0 days 00:00:02.430000000,0,1
15,-1.05,-3.9,0.42,-11.88,-9.5,-4.44,0 days 00:00:02.609000000,0,1
16,-1.05,-3.93,0.45,-1.82,-9.69,4.44,0 days 00:00:02.789000000,0,1
17,-1.05,-3.8,0.43,7.37,-9.08,3.79,0 days 00:00:02.970000000,0,1
18,-1.01,-4.01,0.56,16.84,20.23,-5.19,0 days 00:00:03.149000000,0,1
19,-1.08,-3.75,0.52,17.5,27.24,-19.95,0 days 00:00:03.348000000,0,1
20,-0.98,-3.86,0.26,19.02,33.71,-28.49,0 days 00:00:03.527000000,0,1
21,-1.28,-3.86,0.2,14.79,11.05,23.53,0 days 00:00:03.716000000,0,1
22,-0.88,-3.88,0.15,-8.6,-5.42,0.4,0 days 00:00:03.899000000,0,1
23,-0.87,-3.93,0.17,-0.82,-16.43,-3.48,0 days 00:00:04.039000000,0,1
24,-0.97,-4.12,0.28,5.83,-20.43,-10.12,0 days 00:00:04.233000000,0,1
25,-1.24,-3.83,0.56,-3.73,-10.55,1.54,0 days 00:00:04.415000000,0,1
26,-1.19,-3.81,0.51,-17.19,-12.18,4.81,0 days 00:00:04.569000000,0,1
27,-1.03,-3.82,0.43,-7.28,-17.65,-9.71,0 days 00:00:04.769000000,1,1
28,-0.92,-3.86,0.51,11.54,25.53,-32.52,0 days 00:00:04.926000000,1,1
29,-0.71,-4.23,0.42,17.1,38.56,-52.85,0 days 00:00:05.125000000,1,1
30,-0.08,-3.73,0.23,26.32,33.21,6.79,0 days 00:00:05.292000000,1,1
31,-1.14,-3.45,0.15,-13.98,19.13,235.18,0 days 00:00:05.461000000,1,1
32,-3.05,-3.23,-0.14,-19.08,-25.76,47.92,0 days 00:00:05.679000000,1,1
33,-1.78,-3.52,0.11,1.05,-19.08,-136.12,0 days 00:00:05.858000000,1,1
34,-1.09,-3.97,0.25,-1.69,-36.15,-99.25,0 days 00:00:06.042000000,1,1
35,-0.83,-4.22,0.72,-8.61,-15.44,-21.92,0 days 00:00:06.191000000,1,1
36,-0.66,-3.93,0.49,-10.49,-10.84,-44.56,0 days 00:00:06.393000000,1,1
37,-0.32,-3.89,0.51,7.77,10.84,-37.3,0 days 00:00:06.579000000,1,1
38,-0.21,-4.74,0.25,0.73,13.82,-27.44,0 days 00:00:06.753000000,0,1
39,-0.09,-3.94,-0.16,9.05,13.34,-9.6,0 days 00:00:06.921000000,0,1
40,-0.13,-3.74,0.03,14.05,12.32,-24.73,0 days 00:00:07.089000000,0,1
41,-0.19,-3.98,-0.11,3.97,-32.58,-5.63,0 days 00:00:07.260000000,0,1
42,-0.2,-4.39,0.33,11.56,-22.96,-3.48,0 days 00:00:07.492000000,0,1
43,-0.42,-3.97,0.62,-12.29,-21.62,3.15,0 days 00:00:07.620000000,0,1
44,0.02,-3.88,0.63,2.55,-7.66,-0.21,0 days 00:00:07.807000000,0,1
45,-0.23,-4.02,0.69,7.94,22.21,-1.83,0 days 00:00:07.998000000,0,1
46,-0.02,-4.24,0.55,9.89,45.85,-14.26,0 days 00:00:08.199000000,0,1
47,-0.12,-3.96,0.11,16.41,22.12,-8.73,0 days 00:00:08.341000000,0,1
48,-0.38,-3.83,0.16,16.14,10.73,21.68,0 days 00:00:08.558000000,0,1
49,-0.28,-3.8,0.17,-2.34,-20.11,-3.42,0 days 00:00:08.709000000,0,1
50,-0.42,-3.92,0.34,-5.21,-38.96,-21.63,0 days 00:00:08.860000000,0,1
51,-0.39,-3.8,0.58,-17.44,-43.08,-15.79,0 days 00:00:09.038000000,0,1
52,-0.48,-3.89,0.57,-1.4,-18.09,-1.15,0 days 00:00:09.304000000,0,1
53,-0.35,-3.86,0.73,17.45,21.24,-6.15,0 days 00:00:09.394000000,0,1
54,-0.39,-4.25,0.5,18.37,32.56,-15.66,0 days 00:00:09.572000000,1,1
55,-0.24,-3.86,0.3,37.1,34.29,12.53,0 days 00:00:09.757000000,1,1
56,-0.96,-3.31,0.49,18.85,37.42,216.03,0 days 00:00:09.955000000,1,1
57,-3.03,-3.37,0.21,-51.15,-19.31,10.38,0 days 00:00:10.142000000,1,1
58,-1.19,-3.63,0.0,-31.73,-48.4,-151.16,0 days 00:00:10.335000000,1,1
59,-0.58,-4.21,0.12,-12.52,-55.44,-55.37,0 days 00:00:10.528000000,1,1
60,-1.05,-4.17,0.65,-23.56,-71.89,14.29,0 days 00:00:10.726000000,1,1
61,-1.0,-3.83,0.6,6.31,-19.73,17.8,0 days 00:00:10.833000000,1,1
62,-0.97,-3.7,0.71,6.47,-6.53,-16.27,0 days 00:00:11.122000000,1,1
63,-0.97,-4.32,0.45,-5.77,1.79,-14.14,0 days 00:00:11.313000000,0,1
64,-1.14,-3.75,0.12,-7.36,-25.45,-1.08,0 days 00:00:11.455000000,0,1
65,-0.96,-3.93,-0.03,-4.72,-28.95,3.97,0 days 00:00:11.577000000,0,1
66,-0.92,-3.71,0.19,-0.05,-45.44,-4.69,0 days 00:00:11.816000000,0,1
67,-1.0,-3.84,0.11,-28.82,-103.11,-1.39,0 days 00:00:11.950000000,0,1
68,-0.95,-3.82,0.23,-27.36,-114.02,-14.85,0 days 00:00:12.195000000,0,1
69,-1.19,-3.82,0.5,-38.64,-112.76,14.06,0 days 00:00:12.331000000,0,1
70,-1.08,-3.95,0.46,-39.05,-142.49,13.56,0 days 00:00:12.462000000,0,1
71,-1.04,-3.79,0.59,-20.9,-106.21,-8.17,0 days 00:00:12.729000000,0,1
72,-1.3,-3.71,0.52,-21.56,-65.19,-2.31,0 days 00:00:12.875000000,0,1
73,-1.28,-3.82,0.31,-12.87,-52.84,-19.25,0 days 00:00:13.016000000,0,1
74,-1.01,-3.81,0.1,-12.7,-52.08,-15.8,0 days 00:00:13.288000000,0,1
75,-1.05,-3.81,0.08,-15.85,-62.58,-1.8,0 days 00:00:13.433000000,0,1
76,-0.91,-3.84,0.02,-26.58,-95.88,-4.73,0 days 00:00:13.580000000,0,1
77,-0.94,-3.92,-0.08,-46.14,-113.82,-13.18,0 days 00:00:13.732000000,0,1
78,-0.92,-3.91,0.29,-25.15,-90.44,-6.46,0 days 00:00:14.049000000,0,1
79,-1.15,-3.83,0.39,-32.43,-96.2,-1.31,0 days 00:00:14.222000000,0,1
80,-1.05,-3.84,0.41,-12.7,-75.76,-9.25,0 days 00:00:14.391000000,0,1
81,-0.91,-3.88,0.48,-5.45,-58.52,-19.54,0 days 00:00:14.559000000,0,1
82,-0.73,-3.86,0.54,2.67,-48.26,-41.68,0 days 00:00:14.740000000,1,1
83,-0.66,-3.97,0.39,8.46,-18.31,5.4,0 days 00:00:14.914000000,1,1
84,-0.75,-4.0,0.28,14.18,-9.07,31.83,0 days 00:00:15.102000000,1,1
85,-1.07,-3.4,0.18,-0.18,6.46,148.38,0 days 00:00:15.286000000,1,1
86,-3.35,-3.29,0.11,-17.74,-25.56,69.89,0 days 00:00:15.470000000,1,1
87,-1.95,-3.35,0.02,-33.25,-46.63,-173.51,0 days 00:00:15.669000000,1,1
88,-1.09,-4.11,-0.03,-15.94,-43.27,-153.37,0 days 00:00:15.963000000,1,1
89,-0.9,-3.75,0.31,-22.96,-96.7,-63.6,0 days 00:00:15.985000000,1,1
90,-0.61,-3.95,0.36,-21.48,-40.32,0.14,0 days 00:00:16.241000000,1,1
91,-0.51,-3.93,0.32,-1.89,-17.77,5.85,0 days 00:00:16.465000000,0,1
92,-0.79,-3.86,0.39,17.68,11.79,8.56,0 days 00:00:16.478000000,0,1
93,-0.72,-4.18,0.17,1.86,26.41,-11.37,0 days 00:00:16.696000000,0,1
94,-0.75,-3.49,-0.06,46.31,41.4,-11.68,0 days 00:00:16.922000000,0,1
95,-0.69,-3.75,0.09,8.87,12.53,3.68,0 days 00:00:17.177000000,0,1
96,-0.63,-3.86,0.15,4.34,-11.86,-2.75,0 days 00:00:17.227000000,0,1
97,-0.41,-4.19,0.25,-0.55,-34.82,-20.95,0 days 00:00:17.476000000,0,1
98,-0.8,-3.54,0.51,-16.64,-21.68,-8.26,0 days 00:00:17.715000000,0,1
99,-0.64,-3.92,0.58,-4.02,-9.77,0.78,0 days 00:00:17.727000000,0,1
100,-0.55,-3.71,0.51,0.7,-2.78,-17.97,0 days 00:00:17.982000000,0,1
101,-0.44,-4.23,0.43,5.97,28.03,-24.87,0 days 00:00:18.239000000,0,1
102,-0.58,-3.54,0.21,23.8,28.46,-21.1,0 days 00:00:18.251000000,0,1
103,-0.75,-3.97,0.1,10.46,16.61,16.58,0 days 00:00:18.532000000,0,1
104,-0.49,-3.79,0.16,3.71,-5.21,1.91,0 days 00:00:18.803000000,0,1
105,-0.36,-3.96,0.22,3.04,-21.56,-18.15,0 days 00:00:18.816000000,0,1
106,-0.61,-4.39,0.31,-7.08,-38.47,-6.17,0 days 00:00:19.096000000,0,1
107,-0.53,-4.16,0.56,-12.08,-25.25,3.95,0 days 00:00:19.385000000,0,1
108,-0.5,-3.92,0.48,1.42,-5.18,-11.39,0 days 00:00:19.398000000,0,1
109,-0.4,-4.02,0.53,11.74,37.73,18.81,0 days 00:00:19.695000000,0,1
110,-0.6,-4.37,0.5,28.12,63.59,18.11,0 days 00:00:19.705000000,1,1
111,-0.74,-3.76,0.26,28.35,30.11,-4.6,0 days 00:00:20.015000000,1,1
112,-0.84,-3.52,0.33,15.02,35.16,49.83,0 days 00:00:20.027000000,1,1
113,-1.22,-2.57,0.28,-75.6,-25.95,320.61,0 days 00:00:20.361000000,1,1
114,-3.79,-3.57,-0.56,-31.6,-65.98,-138.6,0 days 00:00:20.371000000,1,1
115,-1.47,-3.16,0.16,-14.17,-36.99,-208.5,0 days 00:00:20.844000000,1,1
116,-0.85,-3.68,0.36,3.62,-8.02,-73.94,0 days 00:00:20.859000000,1,1
117,-0.36,-3.66,0.44,5.88,1.89,0.66,0 days 00:00:21.228000000,1,1
