,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isLeft,isWalk
0,-1.2,-3.82,0.37,6.35,4.58,-4.58,0 days 00:00:00.000000000,0,1
1,-1.18,-3.82,0.41,3.01,-0.21,-4.18,0 days 00:00:00.139000000,0,1
2,-1.15,-3.83,0.46,0.87,-2.61,-2.4,0 days 00:00:00.316000000,0,1
3,-1.15,-3.8,0.37,1.56,-3.24,-4.55,0 days 00:00:00.498000000,0,1
4,-1.17,-3.8,0.41,3.07,-1.19,-1.4,0 days 00:00:00.676000000,0,1
5,-1.19,-3.8,0.38,2.12,-3.15,-1.95,0 days 00:00:00.856000000,0,1
6,-1.21,-3.8,0.37,3.56,3.47,-1.89,0 days 00:00:01.036000000,0,1
7,-1.17,-3.83,0.39,4.21,-0.69,-6.63,0 days 00:00:01.237000000,0,1
8,-1.17,-3.83,0.42,3.91,-1.39,-2.53,0 days 00:00:01.396000000,0,1
9,-1.17,-3.83,0.37,4.23,-1.5,-4.64,0 days 00:00:01.576000000,0,1
10,-1.12,-3.84,0.43,6.4,-0.95,-4.67,0 days 00:00:01.756000000,0,1
11,-1.15,-3.8,0.4,5.59,1.92,-2.81,0 days 00:00:01.908000000,0,1
12,-1.13,-3.81,0.43,5.69,7.31,-4.64,0 days 00:00:02.086000000,0,1
13,-1.05,-3.86,0.32,3.16,0.47,-11.36,0 days 00:00:02.266000000,0,1
14,-1.0,-3.88,0.37,7.63,3.77,-5.33,0 days 00:00:02.446000000,0,1
15,-1.04,-3.84,0.38,5.65,-1.8,-2.47,0 days 00:00:02.626000000,0,1
16,-1.02,-3.84,0.38,5.31,-3.19,-6.72,0 days 00:00:02.806000000,0,1
17,-1.04,-3.82,0.43,-3.48,-6.95,-7.31,0 days 00:00:02.986000000,0,1
18,-0.81,-3.75,0.53,-3.44,0.09,-11.82,0 days 00:00:03.168000000,0,1
19,-0.75,-3.84,0.51,-0.98,10.98,-5.44,0 days 00:00:03.350000000,1,1
20,-0.8,-3.84,0.63,5.97,3.5,-15.62,0 days 00:00:03.538000000,1,1
21,-1.77,-4.28,0.32,34.38,-238.12,-75.68,0 days 00:00:03.701000000,1,1
