,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isLeftLean,isWalk
0,-1.06,-3.79,0.62,7.94,-8.55,1.89,0 days 00:00:00.000000000,0,1
1,-1.21,-3.79,0.58,-0.03,-5.76,3.02,0 days 00:00:00.091000000,0,1
2,-1.01,-3.88,0.6,6.49,-6.38,-11.15,0 days 00:00:00.269000000,0,1
3,-0.97,-3.86,0.56,-0.78,11.88,-9.48,0 days 00:00:00.449000000,0,1
4,-1.0,-3.8,0.48,5.08,3.76,-4.81,0 days 00:00:00.629000000,0,1
5,-1.12,-3.8,0.51,11.65,2.52,-4.99,0 days 00:00:00.809000000,0,1
6,-1.11,-3.88,0.6,16.37,7.62,-2.49,0 days 00:00:00.989000000,0,1
7,-1.19,-3.87,0.65,8.05,6.64,-13.25,0 days 00:00:01.169000000,0,1
8,-0.91,-3.82,0.62,2.11,11.5,-21.54,0 days 00:00:01.349000000,0,1
9,-0.88,-3.97,0.52,1.77,12.96,-17.07,0 days 00:00:01.529000000,0,1
10,-0.67,-3.91,0.46,-0.47,19.45,-15.3,0 days 00:00:01.709000000,0,1
11,-0.66,-3.94,0.2,-12.52,1.94,-10.29,0 days 00:00:01.889000000,0,1
12,-0.53,-3.92,0.22,0.63,-12.37,-13.76,0 days 00:00:02.069000000,0,1
13,-0.36,-4.08,0.3,7.19,-5.18,-26.18,0 days 00:00:02.249000000,0,1
14,-0.47,-3.93,0.39,12.17,-5.1,-16.6,0 days 00:00:02.429000000,0,1
15,-0.6,-3.95,0.59,-6.18,-12.12,-19.36,0 days 00:00:02.609000000,0,1
16,-0.53,-3.86,0.66,1.15,-7.57,3.28,0 days 00:00:02.789000000,0,1
17,-0.47,-3.88,0.63,-0.12,14.44,-7.08,0 days 00:00:02.939000000,1,1
18,-0.2,-4.32,0.55,-10.5,8.5,-32.43,0 days 00:00:03.119000000,1,1
19,-0.31,-3.71,0.2,-22.63,-5.31,-46.32,0 days 00:00:03.300000000,1,1
20,0.2,-3.83,0.05,-38.05,-18.92,-33.44,0 days 00:00:03.480000000,1,1
21,-0.27,-3.46,-0.68,-134.72,-71.47,14.11,0 days 00:00:03.671000000,1,1
22,-0.11,-3.73,-1.53,-53.57,-45.73,-6.0,0 days 00:00:03.870000000,1,1
23,0.17,-3.86,-1.67,12.69,-33.21,-31.92,0 days 00:00:04.047000000,1,1
24,-0.19,-3.58,-1.15,40.26,18.4,0.76,0 days 00:00:04.227000000,1,1
25,-0.13,-4.06,-0.68,75.51,64.66,12.92,0 days 00:00:04.379000000,1,1
26,-0.28,-3.73,-0.23,87.07,91.45,11.08,0 days 00:00:04.565000000,1,1
27,-0.28,-3.96,0.3,31.13,30.5,-17.6,0 days 00:00:04.787000000,1,1
28,-0.02,-4.08,0.04,19.69,15.86,-5.3,0 days 00:00:04.950000000,1,1
29,0.16,-3.94,0.18,29.22,19.6,-18.78,0 days 00:00:05.114000000,0,1
30,-0.15,-3.87,0.21,12.24,-1.37,15.45,0 days 00:00:05.282000000,0,1
31,0.14,-3.9,0.18,3.11,-29.88,-13.98,0 days 00:00:05.492000000,0,1
32,0.11,-3.87,0.29,1.48,-24.58,-16.84,0 days 00:00:05.670000000,0,1
33,-0.08,-3.78,0.38,-4.2,-12.75,-6.69,0 days 00:00:05.853000000,0,1
34,0.06,-4.33,0.53,5.57,-30.31,27.37,0 days 00:00:05.999000000,0,1
35,0.14,-3.95,0.57,4.52,-0.85,3.83,0 days 00:00:06.197000000,0,1
36,0.04,-4.03,0.6,12.99,33.94,-1.11,0 days 00:00:06.361000000,0,1
37,0.07,-3.74,0.34,18.05,26.27,-12.35,0 days 00:00:06.571000000,0,1
38,-0.04,-4.02,0.39,20.09,34.05,13.47,0 days 00:00:06.735000000,0,1
39,-0.15,-3.89,0.43,1.59,4.0,-1.83,0 days 00:00:06.903000000,0,1
40,-0.13,-3.9,0.31,-9.31,-24.32,-2.05,0 days 00:00:07.078000000,0,1
41,0.28,-4.02,0.28,4.85,-32.06,-13.94,0 days 00:00:07.265000000,0,1
42,-0.28,-3.66,0.55,2.17,-1.21,-13.53,0 days 00:00:07.462000000,0,1
43,-0.1,-3.86,0.48,5.47,-16.32,3.02,0 days 00:00:07.596000000,0,1
44,0.01,-3.78,0.67,5.01,13.68,-8.4,0 days 00:00:07.789000000,0,1
45,0.19,-3.9,0.5,8.89,24.29,-29.21,0 days 00:00:07.990000000,0,1
46,-0.05,-4.15,0.17,12.37,32.73,-9.88,0 days 00:00:08.133000000,1,1
47,-0.01,-3.82,0.34,6.85,6.15,1.1,0 days 00:00:08.343000000,1,1
48,0.0,-3.8,0.34,-3.04,-14.61,-5.66,0 days 00:00:08.557000000,1,1
49,-0.1,-3.67,0.32,-53.88,-95.27,-48.03,0 days 00:00:08.704000000,1,1
50,0.09,-3.54,-0.44,-139.57,-170.55,-35.31,0 days 00:00:08.856000000,1,1
51,0.56,-4.14,-1.21,-87.34,-94.21,22.95,0 days 00:00:09.088000000,1,1
52,0.11,-4.02,-1.44,5.21,-22.4,27.47,0 days 00:00:09.260000000,1,1
53,0.3,-3.98,-1.08,80.9,81.59,6.79,0 days 00:00:09.399000000,1,1
54,-0.02,-3.95,-0.8,89.25,76.52,15.89,0 days 00:00:09.608000000,1,1
55,-0.4,-4.02,-0.33,72.96,41.39,16.15,0 days 00:00:09.784000000,1,1
56,-0.42,-3.87,-0.15,26.37,-28.03,21.19,0 days 00:00:09.962000000,0,1
57,-0.24,-3.78,-0.09,2.73,-69.45,-7.27,0 days 00:00:10.146000000,0,1
58,-0.38,-3.94,0.08,-1.53,-90.14,-5.39,0 days 00:00:10.344000000,0,1
59,-0.45,-4.0,0.45,-6.85,-101.37,8.14,0 days 00:00:10.444000000,0,1
60,-0.45,-4.12,0.4,-9.79,-110.02,4.0,0 days 00:00:10.648000000,0,1
61,-0.3,-3.8,0.43,2.34,-97.25,-9.63,0 days 00:00:10.853000000,0,1
62,-0.42,-4.3,0.33,3.18,-79.83,-6.08,0 days 00:00:11.060000000,0,1
63,-0.37,-4.09,0.2,-3.53,-75.77,-9.31,0 days 00:00:11.173000000,0,1
64,-0.25,-4.11,0.06,-4.82,-101.59,-6.12,0 days 00:00:11.386000000,0,1
65,-0.16,-3.93,0.15,-7.18,-114.9,-5.11,0 days 00:00:11.606000000,0,1
66,-0.1,-4.03,0.11,-12.76,-120.87,-9.56,0 days 00:00:11.730000000,0,1
67,-0.16,-3.98,0.07,-17.85,-163.05,-9.08,0 days 00:00:11.968000000,0,1
68,-0.36,-4.1,0.36,-21.6,-156.58,7.4,0 days 00:00:12.094000000,0,1
69,-0.37,-3.89,0.52,-4.58,-131.62,0.5,0 days 00:00:12.351000000,0,1
70,-0.15,-4.03,0.51,0.41,-108.34,-13.82,0 days 00:00:12.484000000,0,1
71,-0.26,-4.1,0.46,4.89,-67.69,-26.85,0 days 00:00:12.619000000,1,1
72,-0.27,-4.02,0.3,4.02,-52.73,-35.45,0 days 00:00:12.880000000,1,1
73,-0.14,-3.89,0.12,-13.56,-73.21,-38.17,0 days 00:00:13.026000000,1,1
74,-0.32,-3.33,-0.27,-106.43,-130.64,-39.77,0 days 00:00:13.171000000,1,1
75,0.32,-3.92,-1.34,-99.66,-101.33,-9.77,0 days 00:00:13.447000000,1,1
76,0.22,-3.49,-1.61,-31.51,-69.05,-2.76,0 days 00:00:13.594000000,1,1
