,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isLeftRoll,isWalk
0,-1.28,-3.81,0.6,5.8,1.53,-1.4,0 days 00:00:00.000000000,0,1
1,-1.29,-3.77,0.63,3.69,-7.13,-2.9,0 days 00:00:00.178000000,0,1
2,-1.32,-3.75,0.6,0.72,-1.07,-2.44,0 days 00:00:00.359000000,0,1
3,-1.35,-3.78,0.55,1.91,-1.24,-4.72,0 days 00:00:00.539000000,0,1
4,-1.27,-3.76,0.58,3.59,-1.19,-5.92,0 days 00:00:00.748000000,0,1
5,-1.28,-3.77,0.59,2.5,-2.52,-7.3,0 days 00:00:00.901000000,0,1
6,-1.19,-3.75,0.58,2.18,6.5,-10.14,0 days 00:00:01.051000000,0,1
7,-1.11,-3.84,0.4,7.45,14.0,-10.66,0 days 00:00:01.229000000,0,1
8,-1.14,-3.82,0.45,-2.35,19.42,-17.1,0 days 00:00:01.409000000,0,1
9,-1.15,-3.83,0.45,-5.86,2.26,-9.6,0 days 00:00:01.588000000,0,1
10,-0.93,-3.98,0.7,-3.19,-1.02,-6.05,0 days 00:00:01.772000000,0,1
11,-0.87,-3.9,0.61,3.66,4.93,-13.42,0 days 00:00:01.948000000,0,1
12,-0.79,-3.93,0.6,9.42,24.84,-20.14,0 days 00:00:02.128000000,0,1
13,-0.91,-3.95,0.55,4.56,23.05,-14.26,0 days 00:00:02.309000000,0,1
14,-0.59,-3.99,0.23,22.56,21.86,-24.31,0 days 00:00:02.489000000,0,1
15,-0.81,-3.84,0.23,15.05,22.55,6.52,0 days 00:00:02.676000000,0,1
16,-0.71,-3.74,0.34,3.77,8.31,-6.93,0 days 00:00:02.855000000,0,1
17,-0.59,-3.98,0.29,-1.65,-24.4,-11.74,0 days 00:00:03.058000000,0,1
18,-0.67,-4.11,0.26,2.89,-28.12,-17.82,0 days 00:00:03.219000000,0,1
19,-0.75,-3.62,0.59,-7.68,-21.05,-28.6,0 days 00:00:03.409000000,0,1
20,-0.55,-3.82,0.59,6.76,-9.47,13.16,0 days 00:00:03.575000000,0,1
21,-0.58,-3.74,0.73,12.84,16.95,-0.82,0 days 00:00:03.770000000,0,1
22,-0.55,-4.04,0.76,6.81,29.31,-21.53,0 days 00:00:03.909000000,0,1
23,-0.11,-4.21,0.48,12.4,58.35,-17.94,0 days 00:00:04.086000000,0,1
24,-0.4,-3.83,0.43,21.24,51.37,8.18,0 days 00:00:04.282000000,0,1
25,-0.55,-3.93,0.53,17.94,27.24,10.73,0 days 00:00:04.461000000,0,1
26,-0.7,-3.71,0.47,4.18,32.73,28.34,0 days 00:00:04.633000000,0,1
27,-0.71,-3.82,0.46,-3.77,4.96,46.17,0 days 00:00:04.812000000,0,1
28,-1.16,-4.04,0.61,-14.38,-11.66,26.64,0 days 00:00:05.018000000,1,1
29,-1.56,-3.21,0.7,-77.91,-52.12,16.99,0 days 00:00:05.174000000,1,1
30,-2.08,-3.55,-0.3,-131.16,-122.46,-3.33,0 days 00:00:05.381000000,1,1
31,-1.41,-3.67,-0.69,-107.01,-128.03,-91.82,0 days 00:00:05.545000000,1,1
32,-0.26,-4.07,-1.17,-26.98,-23.11,-214.49,0 days 00:00:05.702000000,1,1
33,1.09,-3.99,-0.98,132.46,148.15,-252.61,0 days 00:00:05.919000000,1,1
34,2.21,-3.4,0.4,151.36,190.87,-92.15,0 days 00:00:06.076000000,1,1
35,1.77,-2.04,1.62,57.98,233.91,109.3,0 days 00:00:06.257000000,1,1
36,-0.89,-3.35,2.27,-168.34,36.93,258.9,0 days 00:00:06.458000000,1,1
37,-1.35,-3.87,1.1,-146.12,-75.77,124.41,0 days 00:00:06.653000000,1,1
38,-1.7,-3.79,0.71,-43.63,-33.27,7.63,0 days 00:00:06.844000000,1,1
39,-1.44,-3.75,0.64,-10.75,-2.12,-18.14,0 days 00:00:07.044000000,1,1
40,-1.4,-3.98,0.57,0.06,18.35,-38.7,0 days 00:00:07.180000000,1,1
41,-1.31,-3.79,0.02,17.51,27.37,-19.15,0 days 00:00:07.324000000,0,1
42,-1.34,-3.62,0.14,19.63,21.53,17.66,0 days 00:00:07.546000000,0,1
43,-1.16,-3.68,0.27,12.21,21.66,-11.85,0 days 00:00:07.703000000,0,1
44,-1.08,-3.73,0.11,-2.99,-22.76,-16.38,0 days 00:00:07.916000000,0,1
45,-1.08,-4.58,0.35,1.77,-33.97,-14.24,0 days 00:00:08.069000000,0,1
46,-1.0,-3.79,0.74,-5.74,-13.63,-8.58,0 days 00:00:08.225000000,0,1
47,-1.13,-3.59,0.59,-13.77,7.07,12.49,0 days 00:00:08.414000000,0,1
48,-1.31,-3.75,0.54,-16.75,48.31,16.35,0 days 00:00:08.589000000,1,1
49,-1.65,-3.97,0.16,-52.21,-3.02,9.73,0 days 00:00:08.833000000,1,1
50,-1.96,-3.26,-0.77,-118.12,-81.36,-10.85,0 days 00:00:08.971000000,1,1
51,-1.8,-3.3,-1.38,-129.95,-77.63,-22.58,0 days 00:00:09.196000000,1,1
52,-1.59,-3.33,-1.75,-44.47,-98.78,-152.4,0 days 00:00:09.340000000,1,1
53,0.31,-3.36,-1.82,1.31,-19.39,-319.76,0 days 00:00:09.568000000,1,1
54,1.95,-3.87,-1.32,87.22,131.05,-219.36,0 days 00:00:09.690000000,1,1
55,2.37,-3.01,-0.05,115.15,181.08,-65.82,0 days 00:00:09.911000000,1,1
56,2.57,-2.49,1.57,66.37,262.24,131.56,0 days 00:00:10.225000000,1,1
57,0.77,-2.96,2.17,-58.85,188.87,273.25,0 days 00:00:10.257000000,1,1
58,-1.82,-3.5,1.94,-96.43,59.63,143.69,0 days 00:00:10.487000000,1,1
59,-1.62,-3.74,0.43,-178.76,-63.89,58.87,0 days 00:00:10.615000000,1,1
60,-1.85,-3.78,-0.42,-47.11,-32.03,-9.54,0 days 00:00:10.859000000,1,1
