,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isRight,isWalk
0,-1.69,-3.6,0.33,4.67,1.16,-4.29,0 days 00:00:00.000000000,0,1
1,-1.75,-3.64,0.34,2.29,-2.69,-4.67,0 days 00:00:00.172000000,0,1
2,-1.66,-3.62,0.35,2.2,-3.45,-3.57,0 days 00:00:00.353000000,0,1
3,-1.64,-3.64,0.34,2.03,-3.82,-4.02,0 days 00:00:00.532000000,0,1
4,-1.64,-3.62,0.33,3.25,-2.23,-2.92,0 days 00:00:00.720000000,0,1
5,-1.62,-3.6,0.38,4.47,1.31,-3.6,0 days 00:00:00.888000000,0,1
6,-1.59,-3.68,0.36,5.22,3.6,-5.91,0 days 00:00:01.072000000,0,1
7,-1.6,-3.65,0.34,3.68,0.05,-4.95,0 days 00:00:01.254000000,0,1
8,-1.56,-3.68,0.35,4.09,-0.98,-6.78,0 days 00:00:01.409000000,0,1
9,-1.49,-3.68,0.35,1.94,-4.2,-9.94,0 days 00:00:01.580000000,0,1
10,-1.57,-3.67,0.33,1.31,-4.66,-4.61,0 days 00:00:01.773000000,0,1
11,-1.5,-3.67,0.38,5.98,5.08,-6.31,0 days 00:00:01.948000000,0,1
12,-1.57,-3.66,0.36,4.17,2.85,-4.34,0 days 00:00:02.135000000,0,1
13,-1.53,-3.69,0.37,1.83,-2.08,-4.18,0 days 00:00:02.344000000,0,1
14,-1.53,-3.69,0.36,4.89,-0.56,-6.05,0 days 00:00:02.506000000,0,1
15,-1.55,-3.69,0.36,5.31,1.42,-4.02,0 days 00:00:02.662000000,0,1
16,-1.49,-3.72,0.38,4.85,0.82,-4.35,0 days 00:00:02.831000000,0,1
17,-1.49,-3.69,0.38,6.93,2.89,-6.43,0 days 00:00:03.002000000,0,1
18,-1.45,-3.67,0.18,4.79,2.12,-13.74,0 days 00:00:03.172000000,0,1
19,-1.36,-3.77,0.17,9.66,16.9,-17.89,0 days 00:00:03.372000000,0,1
20,-1.23,-3.82,0.4,-3.94,-3.11,-27.6,0 days 00:00:03.551000000,0,1
21,-0.97,-4.04,0.46,-16.6,-19.34,-14.64,0 days 00:00:03.735000000,0,1
22,-0.97,-3.78,0.52,9.54,10.73,-6.81,0 days 00:00:03.890000000,0,1
23,-0.98,-3.88,0.63,9.53,30.44,-10.85,0 days 00:00:04.077000000,0,1
24,-0.83,-3.87,0.33,3.66,37.45,-18.17,0 days 00:00:04.269000000,0,1
25,-1.21,-3.84,0.05,13.92,23.94,-5.74,0 days 00:00:04.430000000,0,1
26,-1.0,-3.9,-0.02,15.18,17.98,14.03,0 days 00:00:04.630000000,0,1
