,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isRightLean,isWalk
0,-0.81,-3.95,0.66,1.05,-6.05,1.73,0 days 00:00:00.000000000,0,1
1,-1.05,-3.94,0.74,-4.79,-5.6,12.89,0 days 00:00:00.179000000,0,1
2,-0.72,-3.88,0.62,-7.1,-9.98,0.0,0 days 00:00:00.359000000,0,1
3,-0.87,-3.8,0.56,0.55,-0.64,-5.59,0 days 00:00:00.511000000,0,1
4,-0.67,-3.88,0.63,8.06,10.5,-16.08,0 days 00:00:00.701000000,0,1
5,-0.79,-4.02,0.54,-4.38,4.35,-20.35,0 days 00:00:00.872000000,0,1
6,-0.55,-4.22,0.39,14.18,11.91,-12.21,0 days 00:00:01.053000000,0,1
7,-0.78,-3.82,0.45,5.53,29.33,-4.2,0 days 00:00:01.229000000,0,1
8,-0.81,-3.92,0.3,5.44,8.99,3.76,0 days 00:00:01.409000000,0,1
9,-0.68,-3.84,0.33,10.98,9.95,-8.32,0 days 00:00:01.589000000,0,1
10,-0.71,-3.88,0.31,1.13,-0.03,-2.66,0 days 00:00:01.769000000,0,1
11,-0.69,-3.85,0.36,0.05,-10.41,-12.95,0 days 00:00:01.949000000,0,1
12,-0.56,-3.9,0.28,-8.95,5.74,-15.44,0 days 00:00:02.129000000,0,1
13,-0.89,-3.93,0.3,-7.86,-8.4,-7.59,0 days 00:00:02.309000000,0,1
14,-0.62,-4.09,0.48,-6.09,-15.88,6.09,0 days 00:00:02.491000000,0,1
15,-0.63,-3.87,0.58,7.11,-6.56,-5.51,0 days 00:00:02.671000000,0,1
16,-0.54,-3.97,0.6,11.27,13.47,-4.47,0 days 00:00:02.834000000,0,1
17,-0.4,-4.43,0.53,14.23,18.72,-17.15,0 days 00:00:03.010000000,0,1
18,-0.39,-4.05,0.37,24.26,26.81,-29.89,0 days 00:00:03.213000000,0,1
19,-0.58,-3.98,0.4,-0.26,3.56,-2.55,0 days 00:00:03.377000000,0,1
20,-0.32,-3.82,0.44,4.52,1.4,-7.5,0 days 00:00:03.547000000,0,1
21,-0.19,-4.0,0.35,2.67,-15.82,-8.43,0 days 00:00:03.722000000,0,1
22,0.29,-4.04,0.28,-32.55,56.96,-20.03,0 days 00:00:03.905000000,0,1
23,-0.82,-4.08,0.64,14.66,26.72,-10.66,0 days 00:00:04.100000000,1,1
24,0.52,-5.21,-0.24,212.67,109.22,-30.66,0 days 00:00:04.260000000,1,1
25,-1.06,-3.13,2.24,89.34,6.85,20.55,0 days 00:00:04.440000000,1,1
26,-0.86,-3.19,2.57,9.25,21.85,9.42,0 days 00:00:04.633000000,1,1
