,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isRightRoll,isWalk
0,-0.92,-3.78,0.36,-3.34,-17.13,0.87,0 days 00:00:00.000000000,0,1
1,-0.96,-4.07,0.43,-8.44,-23.73,-13.82,0 days 00:00:00.180000000,0,1
2,-0.95,-4.21,0.5,-8.09,-22.21,-1.91,0 days 00:00:00.360000000,0,1
3,-0.97,-3.79,0.63,-15.47,-9.13,-6.05,0 days 00:00:00.540000000,0,1
4,-0.87,-3.77,0.64,-0.92,-6.85,3.3,0 days 00:00:00.720000000,0,1
5,-0.93,-3.68,0.6,7.19,3.83,-4.92,0 days 00:00:00.903000000,0,1
6,-0.62,-4.14,0.64,16.03,8.52,-22.52,0 days 00:00:01.082000000,0,1
7,-1.03,-3.97,0.44,15.25,7.19,-14.31,0 days 00:00:01.260000000,0,1
8,-0.83,-3.8,0.48,20.96,29.92,-3.68,0 days 00:00:01.440000000,0,1
9,-1.01,-3.8,0.35,-0.26,-9.69,2.56,0 days 00:00:01.620000000,0,1
10,-0.83,-3.67,0.37,-9.02,-9.42,-7.13,0 days 00:00:01.801000000,0,1
11,-0.72,-4.21,0.22,-3.42,-11.24,-15.68,0 days 00:00:01.980000000,0,1
12,-0.62,-4.06,0.42,1.04,-20.38,-14.05,0 days 00:00:02.160000000,0,1
13,-0.79,-3.91,0.74,3.92,-2.4,-5.15,0 days 00:00:02.340000000,0,1
14,-0.42,-3.91,0.67,9.04,23.63,-28.53,0 days 00:00:02.532000000,0,1
15,-0.67,-3.93,0.78,7.33,27.02,-28.61,0 days 00:00:02.714000000,0,1
16,-0.65,-4.3,0.3,-0.72,18.58,-10.0,0 days 00:00:02.858000000,1,1
17,-0.34,-4.0,0.18,2.11,31.73,26.41,0 days 00:00:03.055000000,1,1
18,-0.62,-3.96,0.09,62.93,48.35,33.92,0 days 00:00:03.243000000,1,1
19,-0.64,-4.03,0.96,96.06,0.41,66.43,0 days 00:00:03.408000000,1,1
20,-1.07,-3.47,1.55,89.69,15.5,106.34,0 days 00:00:03.575000000,1,1
21,-2.23,-3.09,1.92,120.81,45.04,-52.5,0 days 00:00:03.803000000,1,1
22,-1.61,-2.55,2.61,38.78,64.52,-194.98,0 days 00:00:03.956000000,1,1
23,-0.55,-3.05,2.78,-24.56,-17.85,-224.09,0 days 00:00:04.149000000,1,1
24,0.78,-3.08,2.15,-82.47,-143.13,-166.67,0 days 00:00:04.313000000,1,1
25,2.22,-3.65,0.41,-128.85,-264.06,-48.92,0 days 00:00:04.495000000,1,1
26,2.3,-4.39,-1.36,-31.34,-211.3,216.96,0 days 00:00:04.673000000,1,1
27,0.13,-4.13,-0.72,91.76,-41.01,324.34,0 days 00:00:04.858000000,1,1
28,-1.77,-3.41,-0.16,117.48,99.01,9.89,0 days 00:00:05.018000000,1,1
29,-1.33,-3.87,0.23,28.82,-2.32,-42.27,0 days 00:00:05.231000000,1,1
30,-1.23,-3.69,0.69,-0.75,-25.33,-29.63,0 days 00:00:05.393000000,0,1
31,-1.16,-3.8,0.82,1.11,-11.39,11.62,0 days 00:00:05.577000000,0,1
32,-0.94,-3.51,0.6,-4.55,1.31,-19.34,0 days 00:00:05.752000000,0,1
33,-0.95,-3.88,0.65,7.66,15.5,-43.3,0 days 00:00:05.948000000,0,1
34,-1.14,-3.8,0.22,8.82,17.37,-10.95,0 days 00:00:06.137000000,0,1
35,-0.82,-3.67,0.28,11.19,29.51,8.0,0 days 00:00:06.284000000,0,1
36,-0.85,-3.64,0.17,3.54,-10.43,-5.76,0 days 00:00:06.500000000,0,1
