,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isUp,isWalk
0,-1.26,-3.78,0.41,8.29,11.62,-7.51,0 days 00:00:01.767000000,0,1
1,-1.18,-3.93,0.33,16.08,27.56,-16.31,0 days 00:00:01.948000000,0,1
2,-1.03,-3.79,0.25,17.19,59.94,-13.01,0 days 00:00:02.134000000,0,1
3,-1.32,-3.83,0.34,7.98,34.76,-4.52,0 days 00:00:02.318000000,0,1
4,-1.19,-3.81,0.33,8.0,26.78,-2.31,0 days 00:00:02.507000000,0,1
5,-1.1,-3.92,0.35,12.32,38.99,5.16,0 days 00:00:02.700000000,0,1
6,-1.12,-3.81,0.3,10.29,45.59,-2.76,0 days 00:00:02.863000000,0,1
7,-1.02,-3.7,0.32,30.76,72.6,-10.31,0 days 00:00:03.033000000,0,1
8,-1.12,-3.93,0.38,33.47,80.79,-16.75,0 days 00:00:03.219000000,0,1
9,-1.1,-3.71,0.25,22.61,83.82,-17.89,0 days 00:00:03.390000000,0,1
10,-0.85,-3.75,0.23,39.8,64.55,-10.87,0 days 00:00:03.592000000,0,1
11,-1.21,-3.81,0.19,20.08,41.59,2.66,0 days 00:00:03.770000000,0,1
12,-1.1,-3.77,-0.0,-0.9,14.32,-2.21,0 days 00:00:03.910000000,0,1
13,-0.89,-4.18,0.16,-0.05,-9.53,-20.9,0 days 00:00:04.087000000,0,1
14,-0.9,-3.79,0.47,-5.01,-26.15,3.53,0 days 00:00:04.261000000,0,1
15,-0.92,-4.06,0.56,-11.54,-40.44,2.58,0 days 00:00:04.473000000,0,1
16,-0.97,-4.05,0.57,15.53,-20.0,-140.24,0 days 00:00:04.618000000,1,1
17,1.24,-3.65,0.89,40.46,5.56,-326.53,0 days 00:00:04.802000000,1,1
18,2.09,-3.58,0.9,25.1,26.73,-33.48,0 days 00:00:04.995000000,1,1
19,0.99,-3.98,0.67,-14.89,-37.24,280.96,0 days 00:00:05.185000000,1,1
20,-0.34,-3.93,0.46,-35.5,-86.29,94.72,0 days 00:00:05.338000000,1,1
21,-0.53,-3.97,0.08,-43.98,-136.96,40.06,0 days 00:00:05.538000000,1,1
22,-0.73,-4.08,0.06,-45.68,-168.05,34.41,0 days 00:00:05.697000000,1,1
23,-0.92,-4.03,0.4,-44.72,-179.85,18.31,0 days 00:00:05.951000000,1,1
24,-0.68,-3.94,0.52,-35.53,-167.68,-1.82,0 days 00:00:06.092000000,0,1
25,-0.72,-3.78,0.62,-23.68,-110.53,-5.24,0 days 00:00:06.283000000,0,1
26,-1.04,-3.79,0.31,-29.21,-90.18,-7.66,0 days 00:00:06.458000000,0,1
27,-1.0,-4.04,0.27,-9.11,-64.11,-3.5,0 days 00:00:06.630000000,0,1
28,-0.65,-3.94,0.01,-12.2,-77.27,-1.54,0 days 00:00:06.810000000,0,1
29,-0.69,-3.9,0.07,-22.23,-78.38,-1.39,0 days 00:00:06.991000000,0,1
30,-0.83,-3.98,-0.11,-20.5,-93.24,-21.34,0 days 00:00:07.171000000,0,1
31,-0.42,-3.97,0.07,-11.5,-118.82,-22.14,0 days 00:00:07.357000000,0,1
32,-0.73,-3.91,0.36,-19.37,-118.9,-1.69,0 days 00:00:07.546000000,0,1
33,-0.7,-3.84,0.63,-1.66,-82.98,11.94,0 days 00:00:07.738000000,0,1
34,-0.77,-3.76,0.68,1.45,-49.85,-2.78,0 days 00:00:07.936000000,0,1
35,-0.72,-3.94,0.74,2.85,-21.18,-14.89,0 days 00:00:08.066000000,0,1
36,-0.39,-4.12,0.44,3.33,10.08,-31.25,0 days 00:00:08.267000000,0,1
37,-0.28,-4.14,0.14,14.67,-0.31,-18.14,0 days 00:00:08.402000000,0,1
38,-0.39,-3.71,0.22,6.69,-20.56,-17.66,0 days 00:00:08.612000000,0,1
39,-0.36,-3.97,0.27,5.62,-34.29,-6.95,0 days 00:00:08.755000000,0,1
40,-0.31,-4.9,0.31,10.52,-29.45,-11.24,0 days 00:00:08.973000000,0,1
41,-0.39,-3.97,0.77,4.05,-28.56,-22.09,0 days 00:00:09.121000000,0,1
42,-0.38,-3.67,0.85,-8.89,8.24,0.05,0 days 00:00:09.354000000,0,1
43,-0.35,-3.81,0.73,-5.28,15.27,-0.78,0 days 00:00:09.505000000,1,1
44,-0.34,-4.49,0.47,-1.54,44.99,-73.21,0 days 00:00:09.658000000,1,1
45,0.73,-3.72,0.34,29.73,41.85,-324.26,0 days 00:00:09.895000000,1,1
46,2.43,-3.17,0.33,5.51,18.06,-121.42,0 days 00:00:10.051000000,1,1
47,2.39,-3.13,0.27,-19.11,0.53,168.69,0 days 00:00:10.213000000,1,1
48,0.54,-3.77,0.06,-11.48,-22.18,284.4,0 days 00:00:10.473000000,1,1
49,-0.76,-3.74,0.51,-11.48,-62.73,82.02,0 days 00:00:10.677000000,1,1
50,-0.52,-3.94,0.66,3.33,-21.74,35.76,0 days 00:00:10.751000000,1,1
51,-0.55,-3.94,0.59,-0.64,-2.81,11.82,0 days 00:00:10.973000000,0,1
52,-0.58,-3.78,0.72,10.55,30.43,-12.21,0 days 00:00:11.156000000,0,1
53,-0.64,-4.34,0.22,8.43,22.29,-9.74,0 days 00:00:11.338000000,0,1
54,-0.69,-4.17,-0.03,11.91,19.27,-12.05,0 days 00:00:11.521000000,0,1
55,-0.52,-3.75,0.19,5.76,1.86,1.37,0 days 00:00:11.702000000,0,1
56,-0.48,-4.09,0.08,-4.49,-34.15,-0.08,0 days 00:00:11.892000000,0,1
57,-0.45,-3.93,0.18,1.28,-49.3,-13.3,0 days 00:00:12.089000000,0,1
58,-0.49,-3.86,0.67,-10.46,-46.52,-25.68,0 days 00:00:12.159000000,0,1
59,-0.42,-3.69,0.69,-4.79,-5.92,-3.31,0 days 00:00:12.363000000,0,1
60,-0.57,-3.73,0.78,6.76,-6.6,-2.03,0 days 00:00:12.567000000,0,1
61,-0.3,-4.65,0.56,-6.87,13.07,-28.32,0 days 00:00:12.785000000,0,1
62,-0.56,-3.78,0.28,5.65,-0.17,-12.52,0 days 00:00:13.007000000,0,1
63,-0.93,-3.76,0.15,3.88,13.37,32.69,0 days 00:00:13.078000000,0,1
64,-0.62,-3.77,0.18,0.17,-26.79,1.77,0 days 00:00:13.302000000,0,1
65,-0.39,-4.19,0.08,0.82,-49.02,-24.12,0 days 00:00:13.527000000,0,1
66,-0.85,-3.73,0.54,7.33,-55.95,13.13,0 days 00:00:13.597000000,0,1
67,-0.82,-3.88,0.9,2.18,-43.4,57.85,0 days 00:00:13.826000000,0,1
68,-0.71,-3.78,0.67,-9.11,-10.32,5.56,0 days 00:00:14.068000000,1,1
69,-0.8,-3.93,0.6,-7.02,23.92,-27.69,0 days 00:00:14.139000000,1,1
70,-0.93,-4.09,0.11,-3.31,22.49,3.34,0 days 00:00:14.405000000,1,1
71,-0.79,-3.91,0.01,9.15,1.25,1.77,0 days 00:00:14.680000000,1,1
72,-0.5,-3.89,0.07,11.82,-16.81,-61.79,0 days 00:00:14.758000000,1,1
73,0.69,-4.06,0.29,52.67,-26.95,-372.44,0 days 00:00:14.829000000,1,1
74,2.59,-3.66,0.82,41.97,-24.09,-35.05,0 days 00:00:15.098000000,1,1
75,1.24,-3.6,0.69,-48.85,-80.26,259.36,0 days 00:00:15.394000000,1,1
76,-0.27,-4.24,0.31,-26.38,-73.24,104.87,0 days 00:00:15.499000000,1,1
77,-0.37,-3.82,0.51,0.64,-59.51,20.73,0 days 00:00:15.584000000,1,1
78,-0.42,-4.55,0.4,-13.51,-38.87,-29.68,0 days 00:00:15.881000000,1,1
79,-0.61,-4.06,-0.07,-14.63,-28.23,1.73,0 days 00:00:15.950000000,1,1
80,-0.79,-3.97,0.0,1.77,-46.41,5.4,0 days 00:00:16.247000000,1,1
81,-0.63,-3.92,-0.12,-21.44,-80.73,33.13,0 days 00:00:16.316000000,0,1
82,-0.83,-3.87,-0.26,-26.03,-111.77,-2.17,0 days 00:00:16.617000000,0,1
83,-0.81,-3.85,-0.21,-29.92,-167.73,4.08,0 days 00:00:16.686000000,0,1
84,-0.67,-3.84,0.06,-28.64,-144.31,-22.38,0 days 00:00:17.000000000,0,1
85,-1.02,-3.78,0.09,-44.78,-167.04,1.13,0 days 00:00:17.069000000,0,1
86,-1.11,-3.88,0.23,-36.0,-164.27,-3.31,0 days 00:00:17.391000000,0,1
87,-1.04,-3.76,0.53,-17.5,-129.54,-6.64,0 days 00:00:17.459000000,0,1
88,-1.05,-3.81,0.59,-5.65,-77.66,-15.82,0 days 00:00:17.795000000,0,1
89,-0.74,-3.92,0.41,-13.77,-49.94,-25.18,0 days 00:00:17.865000000,0,1
90,-0.78,-4.03,0.07,-1.21,-37.79,-11.36,0 days 00:00:17.934000000,0,1
91,-0.71,-3.97,-0.1,1.39,-45.71,-6.23,0 days 00:00:18.276000000,0,1
92,-0.57,-4.04,-0.02,-5.6,-52.09,-3.33,0 days 00:00:18.346000000,0,1
93,-0.76,-3.79,0.03,-6.92,-71.71,-6.15,0 days 00:00:18.716000000,0,1
94,-0.31,-3.93,0.15,-5.83,-80.81,-12.93,0 days 00:00:18.789000000,0,1
95,-0.81,-3.66,0.62,-3.02,-65.11,-2.76,0 days 00:00:18.860000000,0,1
96,-0.69,-3.73,0.69,-5.13,-36.78,2.73,0 days 00:00:19.245000000,0,1
97,-0.53,-3.72,0.7,0.41,-7.27,-11.11,0 days 00:00:19.316000000,0,1
98,-0.38,-4.39,0.54,13.15,37.76,-33.33,0 days 00:00:19.385000000,0,1
99,-0.83,-3.7,0.13,29.79,39.04,-4.06,0 days 00:00:19.780000000,1,1
100,-0.62,-3.94,0.2,15.92,41.4,-122.02,0 days 00:00:19.850000000,1,1
101,1.06,-3.49,0.21,-3.11,-16.31,-296.35,0 days 00:00:19.925000000,1,1
102,2.68,-3.0,0.26,13.89,-13.36,-78.27,0 days 00:00:20.439000000,1,1
103,2.7,-4.4,0.41,1.1,-32.31,162.47,0 days 00:00:20.525000000,1,1
104,0.99,-4.29,0.4,5.11,-61.45,230.53,0 days 00:00:20.612000000,1,1
105,-0.45,-3.91,0.64,20.24,-26.21,68.69,0 days 00:00:20.694000000,1,1
106,-0.69,-3.98,0.69,9.1,23.98,-1.28,0 days 00:00:20.775000000,1,1
107,-0.65,-4.36,0.28,1.79,32.21,-3.28,0 days 00:00:21.219000000,1,1
108,-0.82,-3.99,-0.08,0.79,32.73,-5.77,0 days 00:00:21.287000000,1,1
109,-0.55,-3.83,0.02,0.76,-4.7,21.36,0 days 00:00:21.356000000,1,1
110,-0.53,-3.94,0.02,1.37,-42.05,-22.6,0 days 00:00:21.825000000,0,1
111,-0.66,-4.09,0.57,-2.6,-46.79,-9.48,0 days 00:00:21.896000000,0,1
112,-0.6,-4.28,0.6,-6.03,-26.72,15.92,0 days 00:00:21.965000000,0,1
113,-0.53,-3.9,0.46,2.95,-11.39,-4.73,0 days 00:00:22.034000000,0,1
114,-0.31,-3.97,0.74,14.29,36.61,-35.47,0 days 00:00:22.530000000,0,1
115,0.05,-4.34,0.37,5.66,86.23,-3.82,0 days 00:00:22.601000000,0,1
116,-0.27,-4.31,-0.33,-8.96,15.42,12.95,0 days 00:00:22.668000000,0,1
117,-0.16,-3.75,0.11,7.95,-5.97,14.5,0 days 00:00:22.737000000,0,1
118,-0.32,-4.03,-0.11,-2.2,-38.09,3.85,0 days 00:00:23.251000000,0,1
119,-0.26,-4.03,0.03,14.21,-39.34,-15.69,0 days 00:00:23.319000000,0,1
120,-0.69,-3.57,0.59,5.5,-24.32,-5.15,0 days 00:00:23.388000000,0,1
121,-0.5,-3.57,0.61,-4.24,-6.09,-6.96,0 days 00:00:23.457000000,0,1
122,-0.44,-3.68,0.61,7.54,18.55,-8.55,0 days 00:00:24.020000000,0,1
123,0.06,-4.42,0.43,10.69,35.91,-48.03,0 days 00:00:24.092000000,0,1
124,-0.17,-4.01,0.08,14.27,25.27,-29.65,0 days 00:00:24.164000000,1,1
125,-0.04,-3.94,0.21,27.69,24.66,-251.05,0 days 00:00:24.237000000,1,1
126,1.62,-3.46,0.29,21.83,3.86,-194.24,0 days 00:00:24.846000000,1,1
127,3.21,-2.57,0.38,18.55,-38.35,-48.89,0 days 00:00:24.929000000,1,1
128,2.58,-3.29,0.75,10.08,-23.95,132.18,0 days 00:00:25.005000000,1,1
129,1.14,-3.71,0.61,2.23,-46.17,283.21,0 days 00:00:25.143000000,1,1
130,-0.43,-4.09,0.53,-26.14,-29.65,130.85,0 days 00:00:25.225000000,1,1
131,-0.53,-4.09,0.55,12.05,10.58,3.8,0 days 00:00:25.312000000,1,1
132,-0.57,-4.82,0.35,4.0,5.59,-17.4,0 days 00:00:25.963000000,1,1
133,-0.33,-3.73,0.01,8.24,-4.72,-13.18,0 days 00:00:26.038000000,1,1
134,-0.65,-3.7,-0.13,-8.29,3.25,2.15,0 days 00:00:26.113000000,0,1
135,-0.71,-3.75,-0.14,4.15,-51.6,-0.5,0 days 00:00:26.191000000,0,1
136,-0.76,-3.83,0.16,13.39,-57.85,-12.21,0 days 00:00:26.265000000,0,1
137,-0.52,-3.47,0.76,-3.02,-89.65,-17.8,0 days 00:00:26.339000000,0,1
138,-0.58,-3.71,0.68,-20.58,-94.99,1.5,0 days 00:00:27.037000000,0,1
139,-0.42,-3.89,0.76,-2.75,-57.79,7.33,0 days 00:00:27.112000000,0,1
140,-0.62,-4.04,0.54,-24.98,-40.92,-16.89,0 days 00:00:27.186000000,0,1
141,-0.7,-4.07,0.01,-19.24,-45.53,-18.26,0 days 00:00:27.267000000,0,1
142,-0.54,-3.99,-0.07,-0.14,-58.41,-13.51,0 days 00:00:27.345000000,0,1
143,-0.4,-3.95,-0.09,-7.05,-94.66,-2.24,0 days 00:00:27.422000000,0,1
144,-0.57,-3.95,-0.16,-10.09,-125.08,4.03,0 days 00:00:28.213000000,0,1
145,-0.42,-3.97,0.06,-12.99,-145.13,-2.6,0 days 00:00:28.288000000,0,1
146,-0.41,-3.86,0.11,-21.11,-152.06,-21.65,0 days 00:00:28.361000000,0,1
147,-0.51,-4.11,0.24,-32.41,-157.18,-2.32,0 days 00:00:28.435000000,0,1
148,-0.45,-4.03,0.27,-19.47,-154.27,-12.53,0 days 00:00:28.509000000,1,1
149,-0.3,-4.01,0.39,-6.49,-121.33,-11.37,0 days 00:00:28.582000000,1,1
150,-0.35,-3.92,0.43,-9.71,-101.02,-8.2,0 days 00:00:28.656000000,1,1
151,-0.42,-4.03,0.16,-8.24,-67.25,-9.47,0 days 00:00:29.519000000,1,1
152,-0.53,-3.99,0.14,17.95,-38.93,-25.28,0 days 00:00:29.592000000,1,1
153,0.31,-3.82,0.23,47.95,-29.34,-236.73,0 days 00:00:29.667000000,1,1
154,1.81,-3.46,0.49,80.32,-5.53,-233.07,0 days 00:00:29.749000000,1,1
155,2.94,-2.62,0.55,11.3,-54.58,-1.18,0 days 00:00:29.886000000,1,1
156,1.67,-3.5,0.28,21.34,-86.69,155.01,0 days 00:00:29.988000000,1,1
157,1.79,-4.25,0.34,13.66,-78.29,148.98,0 days 00:00:30.075000000,1,1
158,0.13,-4.34,0.58,-34.27,-29.19,130.55,0 days 00:00:30.158000000,1,1
159,-0.42,-3.97,0.35,-0.78,-34.0,39.15,0 days 00:00:31.078000000,1,1
160,-0.36,-3.97,0.49,13.76,14.15,1.36,0 days 00:00:31.153000000,1,1
161,-0.44,-3.94,0.49,6.85,25.98,-2.78,0 days 00:00:31.226000000,1,1
162,-0.67,-3.75,0.18,5.79,37.22,-7.24,0 days 00:00:31.303000000,1,1
163,-0.75,-4.04,0.06,3.65,29.02,25.16,0 days 00:00:31.377000000,1,1
164,-0.58,-3.78,0.08,7.85,7.73,7.28,0 days 00:00:31.451000000,0,1
165,-0.35,-3.93,-0.04,-16.78,6.9,-7.18,0 days 00:00:31.526000000,0,1
166,-0.76,-4.47,0.1,12.08,-34.89,-11.54,0 days 00:00:31.602000000,0,1
167,-0.4,-4.1,0.72,5.04,-22.46,-25.68,0 days 00:00:32.620000000,0,1
168,-0.3,-3.72,0.7,-0.2,-1.07,-25.57,0 days 00:00:32.699000000,0,1
169,-0.45,-3.81,0.68,-8.26,27.57,-12.03,0 days 00:00:32.775000000,0,1
170,-0.09,-3.83,0.35,-8.47,37.27,-47.77,0 days 00:00:32.851000000,0,1
171,-0.09,-3.7,-0.16,11.25,27.98,-28.87,0 days 00:00:32.932000000,0,1
172,-0.38,-3.53,-0.01,28.7,12.61,-7.27,0 days 00:00:33.009000000,0,1
173,-0.43,-3.77,0.05,3.04,-12.52,10.38,0 days 00:00:33.087000000,0,1
174,-0.33,-3.76,0.12,-3.91,-36.14,-13.1,0 days 00:00:33.164000000,1,1
175,-0.67,-3.67,0.39,-19.24,-42.52,-15.98,0 days 00:00:33.241000000,1,1
176,-0.26,-3.74,0.43,-2.76,-7.79,-14.21,0 days 00:00:33.319000000,1,1
